base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
24,5,0.9939,0.0023,0.9947,0.0009,0.9915,0.9979,1,0.045,0.056,G28(enum); G216(enum); G332(enum); G727(enum); R1
14,8,0.9978,0.0019,0.9947,0.0017,0.9936,0.9957,2,0.083,0.111,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G752(enum); R1; R2
42,8,0.9948,0.0015,0.9947,0.0009,0.9915,0.9979,2,0.083,0.111,G28(enum); G216(enum); G713(enum); G727(enum); G873(enum); G939(enum); R1; R9
81,9,0.9974,0.0015,0.9947,0.0017,0.9936,0.9957,2,0.08,0.111,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); R1; R2
16,4,0.9926,0.0034,0.9936,0.0017,0.9915,0.9957,2,0.1,0.111,G28(enum); G216(enum); R1; R2
97,5,0.9939,0.0023,0.9936,0.0009,0.9894,0.9979,1,0.045,0.056,G28(enum); G216(enum); G713(enum); G727(enum); R1
12,6,0.9965,0.003,0.9936,0.0035,0.9958,0.9915,1,0.043,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); R1
15,7,0.9948,0.0011,0.9936,0.0009,0.9894,0.9979,1,0.042,0.056,G28(enum); G216(enum); G686(enum); G727(enum); G873(enum); G939(enum); R1
113,7,0.9948,0.0011,0.9936,0.0009,0.9894,0.9979,1,0.042,0.056,G28(enum); G216(enum); G727(enum); G873(enum); G951(enum); G998(enum); R2
35,10,0.9987,0.0011,0.9936,0.0026,0.9936,0.9936,1,0.037,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G713(enum); G727(enum); G756(wm); G900(enum); G977(enum); R1
80,10,0.9987,0.0008,0.9936,0.0017,0.9915,0.9957,1,0.037,0.056,G28(enum); G216(enum); G380(enum); G657(enum); G686(enum); G727(enum); G752(enum); G873(enum); G939(enum); R1
33,11,0.9983,0.0004,0.9936,0.0017,0.9915,0.9957,2,0.074,0.111,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1; R2
86,12,0.9991,0.0004,0.9936,0.0017,0.9915,0.9957,1,0.034,0.056,G28(enum); G216(enum); G380(enum); G657(enum); G686(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
3,13,0.9996,0.0004,0.9936,0.0017,0.9915,0.9957,2,0.069,0.111,G28(enum); G216(enum); G304(enum); G380(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1; R9
20,13,0.9974,0.0,0.9936,0.0017,0.9915,0.9957,2,0.069,0.111,G28(enum); G146(enum); G216(enum); G304(enum); G657(enum); G727(enum); G728(enum); G752(enum); G873(enum); G923(enum); G939(enum); R1; R2
0,17,0.9983,0.0,0.9936,0.0017,0.9915,0.9957,2,0.061,0.111,G28(enum); G146(enum); G216(enum); G229(enum); G304(enum); G380(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G923(enum); G930(enum); G939(enum); R1; R9
25,6,0.9965,0.003,0.9926,0.0035,0.9936,0.9915,1,0.043,0.056,G28(enum); G216(enum); G657(enum); G713(enum); G727(enum); R1
98,4,0.9908,0.003,0.9925,0.0017,0.9894,0.9957,1,0.048,0.056,G28(enum); G216(enum); G998(enum); R2
27,6,0.9943,0.0015,0.9925,0.0017,0.9894,0.9957,2,0.091,0.111,G28(enum); G216(enum); G873(enum); G939(enum); R1; R2
91,6,0.9943,0.0019,0.9925,0.0017,0.9894,0.9957,2,0.091,0.111,G216(enum); G554(enum); G900(enum); G998(enum); R1; R2
112,6,0.9943,0.0015,0.9925,0.0017,0.9894,0.9957,1,0.043,0.056,G28(enum); G216(enum); G332(enum); G873(enum); G1006(enum); R1
38,11,0.9943,0.0,0.9925,0.0017,0.9894,0.9957,1,0.036,0.056,G28(enum); G216(enum); G380(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); G983(enum); R1
21,15,0.9978,0.0,0.9925,0.0017,0.9894,0.9957,1,0.031,0.056,G28(enum); G216(enum); G304(enum); G345(enum); G380(enum); G416(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G923(enum); G939(enum); R1
2,4,0.9926,0.0034,0.9915,0.0017,0.9873,0.9957,0,0.0,0.0,G28(enum); G216(enum); G686(enum); G939(enum)
68,4,0.9908,0.003,0.9915,0.0017,0.9873,0.9957,1,0.048,0.056,G216(enum); G554(enum); G998(enum); R2
28,6,0.9943,0.0019,0.9915,0.0017,0.9873,0.9957,1,0.043,0.056,G28(enum); G216(enum); G713(enum); G900(enum); G939(enum); R1
85,6,0.9926,0.0011,0.9915,0.0009,0.9851,0.9978,1,0.043,0.056,G28(enum); G216(enum); G332(enum); G727(enum); G873(enum); R1
104,6,0.9926,0.0011,0.9915,0.0009,0.9851,0.9978,1,0.043,0.056,G28(enum); G216(enum); G686(enum); G727(enum); G873(enum); R1
116,6,0.9943,0.0015,0.9915,0.0017,0.9873,0.9957,1,0.043,0.056,G28(enum); G216(enum); G713(enum); G873(enum); G939(enum); R1
118,6,0.9965,0.003,0.9915,0.0035,0.9915,0.9915,1,0.043,0.056,G216(enum); G554(enum); G657(enum); G713(enum); G727(enum); R1
110,7,0.9961,0.0027,0.9915,0.0026,0.9894,0.9936,1,0.042,0.056,G28(enum); G216(enum); G454(enum); G657(enum); G713(enum); G727(enum); R1
94,8,0.9948,0.0015,0.9915,0.0017,0.9873,0.9957,1,0.04,0.056,G28(enum); G216(enum); G380(enum); G713(enum); G756(wm); G900(enum); G977(enum); R1
105,9,0.9961,0.0011,0.9915,0.0017,0.9873,0.9957,2,0.08,0.111,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G752(enum); G873(enum); R1; R2
106,9,0.9952,0.0004,0.9915,0.0017,0.9873,0.9957,1,0.038,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G752(enum); G873(enum); G939(enum); R1
41,10,0.9961,0.0004,0.9915,0.0017,0.9873,0.9957,2,0.077,0.111,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); R1; R2
34,12,0.9991,0.0004,0.9915,0.0017,0.9873,0.9957,1,0.034,0.056,G28(enum); G216(enum); G304(enum); G380(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
37,12,0.9961,0.0,0.9915,0.0017,0.9873,0.9957,1,0.034,0.056,G28(enum); G216(enum); G304(enum); G345(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
114,12,0.9961,0.0,0.9915,0.0017,0.9873,0.9957,1,0.034,0.056,G28(enum); G146(enum); G216(enum); G304(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
82,13,0.9996,0.0004,0.9915,0.0017,0.9873,0.9957,1,0.033,0.056,G28(enum); G63(enum); G216(enum); G304(enum); G380(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
22,15,0.9978,0.0,0.9915,0.0017,0.9873,0.9957,1,0.031,0.056,G28(enum); G146(enum); G216(enum); G304(enum); G380(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G923(enum); G930(enum); G939(enum); R1
75,8,0.993,0.0008,0.9914,0.0,0.983,1.0,1,0.04,0.056,G28(enum); G216(enum); G380(enum); G686(enum); G727(enum); G752(enum); G873(enum); R1
119,5,0.9921,0.0015,0.9904,0.0017,0.9851,0.9957,1,0.045,0.056,G28(enum); G216(enum); G686(enum); G873(enum); R1
13,7,0.9961,0.0027,0.9904,0.0026,0.9873,0.9936,1,0.042,0.056,G216(enum); G454(enum); G554(enum); G657(enum); G713(enum); G727(enum); R1
76,7,0.9912,0.0008,0.9904,0.0009,0.983,0.9978,1,0.042,0.056,G28(enum); G216(enum); G686(enum); G752(enum); G873(enum); G983(enum); R1
93,7,0.9952,0.0019,0.9904,0.0035,0.9894,0.9915,2,0.087,0.111,G28(enum); G216(enum); G657(enum); G727(enum); G873(enum); R1; R2
109,7,0.9912,0.0008,0.9904,0.0009,0.983,0.9978,2,0.087,0.111,G28(enum); G216(enum); G752(enum); G873(enum); G939(enum); R1; R2
39,9,0.9952,0.0004,0.9904,0.0017,0.9851,0.9957,1,0.038,0.056,G28(enum); G216(enum); G657(enum); G713(enum); G727(enum); G752(enum); G873(enum); G939(enum); R1
77,9,0.9956,0.0008,0.9904,0.0017,0.9851,0.9957,1,0.038,0.056,G28(enum); G216(enum); G304(enum); G380(enum); G657(enum); G727(enum); G752(enum); G873(enum); R1
107,7,0.9952,0.0019,0.9894,0.0035,0.9873,0.9915,1,0.042,0.056,G28(enum); G216(enum); G657(enum); G713(enum); G727(enum); G873(enum); R1
32,5,0.9921,0.0015,0.9893,0.0017,0.983,0.9957,0,0.0,0.0,G28(enum); G216(enum); G332(enum); G873(enum); G939(enum)
36,5,0.9921,0.0015,0.9893,0.0017,0.983,0.9957,1,0.045,0.056,G28(enum); G216(enum); G873(enum); G939(enum); R2
69,7,0.9895,0.0004,0.9893,0.0,0.9788,1.0,2,0.087,0.111,G28(enum); G216(enum); G727(enum); G752(enum); G873(enum); R1; R2
83,7,0.9895,0.0004,0.9893,0.0,0.9788,1.0,1,0.042,0.056,G28(enum); G216(enum); G686(enum); G727(enum); G752(enum); G873(enum); R1
111,8,0.993,0.0004,0.9893,0.0017,0.983,0.9957,1,0.04,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G752(enum); G873(enum); R1
40,9,0.989,0.0,0.9893,0.0,0.9788,1.0,1,0.038,0.056,G28(enum); G216(enum); G686(enum); G727(enum); G728(enum); G752(enum); G758(wm); G873(enum); R1
108,10,0.9912,0.0,0.9893,0.0017,0.983,0.9957,1,0.037,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); G983(enum); R1
84,6,0.989,0.0008,0.9882,0.0009,0.9788,0.9978,1,0.043,0.056,G28(enum); G216(enum); G686(enum); G752(enum); G873(enum); R1
117,6,0.989,0.0008,0.9882,0.0009,0.9788,0.9978,2,0.091,0.111,G28(enum); G216(enum); G752(enum); G873(enum); R1; R2
26,8,0.993,0.0004,0.9882,0.0017,0.9809,0.9957,1,0.04,0.056,G28(enum); G216(enum); G657(enum); G713(enum); G727(enum); G752(enum); G873(enum); R1
53,9,0.989,0.0,0.9872,0.0017,0.9788,0.9957,1,0.038,0.056,G28(enum); G216(enum); G657(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); R1
99,10,0.9912,0.0,0.9872,0.0017,0.9788,0.9957,1,0.037,0.056,G28(enum); G216(enum); G657(enum); G713(enum); G727(enum); G728(enum); G752(enum); G873(enum); G939(enum); R1
17,6,0.989,0.0008,0.9871,0.0009,0.9766,0.9978,1,0.043,0.056,G28(enum); G216(enum); G752(enum); G873(enum); G939(enum); R2
45,8,0.9854,0.0,0.9871,0.0,0.9745,1.0,1,0.04,0.056,G28(enum); G216(enum); G686(enum); G727(enum); G728(enum); G752(enum); G873(enum); R1
18,4,0.9706,0.0023,0.9672,0.0009,0.9384,0.9977,3,0.158,0.167,G216(enum); R1; R2; R10
63,4,0.9706,0.0023,0.966,0.0009,0.9363,0.9977,2,0.1,0.111,G216(enum); G713(enum); R1; R10
67,4,0.9687,0.0019,0.966,0.0009,0.9363,0.9977,2,0.1,0.111,G216(enum); G998(enum); R2; R10
51,5,0.9673,0.0011,0.966,0.0009,0.9363,0.9977,3,0.15,0.167,G216(enum); G614(enum); R1; R2; R10
64,4,0.9687,0.0019,0.9649,0.0009,0.9342,0.9977,2,0.1,0.111,G216(enum); G1015(enum); R2; R10
50,5,0.9649,0.0008,0.9626,0.0009,0.9299,0.9977,2,0.095,0.111,G216(enum); G614(enum); G981(enum); R2; R10
31,6,0.963,0.0004,0.9603,0.0,0.9236,1.0,3,0.143,0.167,G216(enum); G752(enum); G873(enum); R1; R2; R10
62,6,0.963,0.0004,0.9603,0.0,0.9236,1.0,2,0.091,0.111,G216(enum); G686(enum); G752(enum); G873(enum); R1; R10
29,7,0.9145,0.0,0.9122,0.0,0.8386,1.0,0,0.0,0.0,G28(enum); G77(enum); G216(enum); G727(enum); G752(enum); G873(enum); G998(enum)
73,4,0.9029,0.0011,0.9049,0.0009,0.828,0.9974,1,0.048,0.056,G28(enum); G216(enum); G727(enum); R1
79,3,0.9016,0.0023,0.9038,0.0017,0.828,0.9949,1,0.05,0.056,G28(enum); G216(enum); R1
103,4,0.9029,0.0011,0.9023,0.0009,0.8238,0.9974,0,0.0,0.0,G28(enum); G216(enum); G727(enum); G939(enum)
87,6,0.901,0.0,0.9021,0.0,0.8217,1.0,1,0.043,0.056,G28(enum); G216(enum); G727(enum); G752(enum); G873(enum); R1
89,5,0.9006,0.0004,0.901,0.0009,0.8217,0.9974,1,0.045,0.056,G28(enum); G216(enum); G727(enum); G873(enum); R1
72,3,0.9016,0.0023,0.9,0.0017,0.8217,0.9949,0,0.0,0.0,G216(enum); G554(enum); G939(enum)
55,4,0.9001,0.0008,0.9,0.0017,0.8217,0.9949,1,0.048,0.056,G28(enum); G216(enum); G873(enum); R1
78,6,0.901,0.0,0.8995,0.0,0.8174,1.0,0,0.0,0.0,G28(enum); G216(enum); G727(enum); G752(enum); G873(enum); G939(enum)
88,5,0.9006,0.0004,0.8985,0.0009,0.8174,0.9974,0,0.0,0.0,G28(enum); G216(enum); G752(enum); G873(enum); G939(enum)
44,3,0.8967,0.0019,0.8974,0.0017,0.8174,0.9948,0,0.0,0.0,G28(enum); G216(enum); G998(enum)
90,4,0.9001,0.0008,0.8974,0.0017,0.8174,0.9948,0,0.0,0.0,G28(enum); G216(enum); G873(enum); G939(enum)
54,3,0.8967,0.0019,0.8961,0.0017,0.8153,0.9948,0,0.0,0.0,G216(enum); G554(enum); G998(enum)
46,4,0.904,0.0015,0.8959,0.0009,0.8132,0.9974,1,0.048,0.056,G28(enum); G216(enum); G727(enum); R2
102,3,0.9027,0.0027,0.8949,0.0017,0.8132,0.9948,1,0.05,0.056,G28(enum); G216(enum); R2
74,4,0.904,0.0015,0.8946,0.0009,0.811,0.9974,0,0.0,0.0,G28(enum); G216(enum); G332(enum); G727(enum)
11,3,0.9027,0.0027,0.8936,0.0017,0.811,0.9948,1,0.05,0.056,G216(enum); G554(enum); R2
71,3,0.875,0.0011,0.8722,0.0009,0.7749,0.9973,2,0.105,0.111,G216(enum); R1; R10
56,3,0.875,0.0011,0.8695,0.0009,0.7707,0.9973,1,0.05,0.056,G216(enum); G939(enum); R10
101,5,0.8697,0.0,0.8678,0.0,0.7665,1.0,2,0.095,0.111,G216(enum); G752(enum); G873(enum); R1; R10
100,3,0.8699,0.0008,0.8654,0.0009,0.7643,0.9972,1,0.05,0.056,G216(enum); G998(enum); R10
19,5,0.8697,0.0,0.8651,0.0,0.7622,1.0,1,0.045,0.056,G216(enum); G752(enum); G873(enum); G939(enum); R10
59,3,0.8699,0.0008,0.8627,0.0009,0.7601,0.9972,1,0.05,0.056,G216(enum); G1015(enum); R10
70,3,0.8762,0.0015,0.8627,0.0009,0.7601,0.9972,2,0.105,0.111,G216(enum); R2; R10
43,3,0.8762,0.0015,0.8613,0.0009,0.758,0.9972,1,0.05,0.056,G216(enum); G332(enum); R10
48,4,0.872,0.0004,0.8613,0.0009,0.758,0.9972,2,0.1,0.111,G216(enum); G614(enum); R2; R10
61,2,0.7758,0.0011,0.7772,0.0009,0.6369,0.9967,1,0.053,0.056,G216(enum); R1
60,4,0.7737,0.0,0.775,0.0,0.6327,1.0,1,0.048,0.056,G216(enum); G752(enum); G873(enum); R1
96,4,0.7737,0.0,0.775,0.0,0.6327,1.0,1,0.048,0.056,G216(enum); G752(enum); G874(enum); R1
66,2,0.7758,0.0011,0.774,0.0009,0.6327,0.9967,0,0.0,0.0,G216(enum); G939(enum)
52,3,0.7733,0.0004,0.774,0.0009,0.6327,0.9967,1,0.05,0.056,G216(enum); G873(enum); R1
95,3,0.7733,0.0004,0.7708,0.0009,0.6285,0.9966,0,0.0,0.0,G216(enum); G873(enum); G939(enum)
9,2,0.7696,0.0008,0.7692,0.0009,0.6263,0.9966,0,0.0,0.0,G216(enum); G998(enum)
23,2,0.7696,0.0008,0.766,0.0009,0.6221,0.9966,0,0.0,0.0,G216(enum); G1015(enum)
65,2,0.7773,0.0015,0.766,0.0009,0.6221,0.9966,1,0.053,0.056,G216(enum); R2
5,2,0.7773,0.0015,0.7644,0.0009,0.62,0.9966,0,0.0,0.0,G216(enum); G332(enum)
7,3,0.6386,0.0,0.6466,0.0,0.4777,1.0,2,0.105,0.111,G881(enum); R1; R10
10,2,0.6391,0.0004,0.6259,0.0009,0.4565,0.9954,0,0.0,0.0,G216(enum); G963(enum)
92,2,0.6391,0.0004,0.6259,0.0009,0.4565,0.9954,0,0.0,0.0,G216(enum); G942(enum)
57,1,0.4944,0.0008,0.5118,0.0,0.3439,1.0,1,0.056,0.056,R1
30,1,0.4944,0.0008,0.5071,0.0,0.3397,1.0,0,0.0,0.0,G939(enum)
49,2,0.4901,0.0,0.5071,0.0,0.3397,1.0,1,0.053,0.056,G873(enum); R1
8,2,0.4901,0.0,0.5024,0.0,0.3355,1.0,0,0.0,0.0,G844(enum); G939(enum)
115,2,0.4901,0.0,0.5024,0.0,0.3355,1.0,0,0.0,0.0,G873(enum); G939(enum)
47,1,0.4838,0.0004,0.5,0.0,0.3333,1.0,0,0.0,0.0,G932(enum)
4,1,0.4971,0.0011,0.4952,0.0,0.3291,1.0,1,0.056,0.056,R2
58,1,0.4971,0.0011,0.4928,0.0,0.327,1.0,0,0.0,0.0,G332(enum)
6,1,0.4838,0.0004,0.4904,0.0,0.3248,1.0,0,0.0,0.0,G981(enum)
1,1,0.2812,0.0,0.281,0.0,0.1635,1.0,0,0.0,0.0,G963(enum)
