base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
0,27,0.9208,0.022,0.9196,0.0286,0.9328,0.9068,0,0.0,0.0,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G113(enum); G204(enum); G226(enum); G266(enum); G267(enum); G273(enum); G277(enum); G282(enum); G325(enum); G348(enum); G357(enum); G411(enum); G427(enum); G448(enum); G469(enum); G513(enum); G524(enum); G526(enum); G540(enum); G570(enum); G608(enum)
6,26,0.9201,0.0223,0.9175,0.0287,0.929,0.9063,1,0.023,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G106(enum); G113(enum); G204(enum); G246(enum); G266(enum); G267(enum); G273(enum); G325(enum); G348(enum); G357(enum); G380(enum); G411(enum); G427(enum); G448(enum); G518(enum); G524(enum); G526(enum); G540(enum); G608(enum); R14
22,26,0.919,0.0215,0.9159,0.027,0.9213,0.9105,1,0.023,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G113(enum); G204(enum); G246(enum); G266(enum); G267(enum); G273(enum); G282(enum); G325(enum); G348(enum); G357(enum); G380(enum); G409(enum); G411(enum); G427(enum); G448(enum); G518(enum); G524(enum); G526(enum); G540(enum); G608(enum); R14
32,28,0.9197,0.0218,0.9159,0.0277,0.9232,0.9087,1,0.022,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G113(enum); G204(enum); G246(enum); G266(enum); G267(enum); G273(enum); G282(enum); G325(enum); G348(enum); G357(enum); G401(enum); G411(enum); G427(enum); G515(enum); G520(enum); G523(enum); G524(enum); G526(enum); G540(enum); G608(enum); G678(wm); R14
1,17,0.919,0.0274,0.9119,0.0362,0.9397,0.8857,0,0.0,0.0,G39(enum); G113(enum); G135(enum); G136(enum); G204(enum); G236(enum); G266(enum); G267(enum); G273(enum); G277(enum); G308(enum); G337(enum); G350(enum); G380(enum); G526(enum); G540(enum); G647(enum)
5,13,0.9152,0.0271,0.9105,0.0356,0.9353,0.8869,0,0.0,0.0,G39(enum); G113(enum); G136(enum); G204(enum); G266(enum); G267(enum); G308(enum); G337(enum); G350(enum); G526(enum); G540(enum); G596(enum); G666(enum)
37,25,0.9183,0.0203,0.9007,0.0272,0.8941,0.9074,0,0.0,0.0,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G113(enum); G196(enum); G204(enum); G226(enum); G266(enum); G273(enum); G282(enum); G325(enum); G348(enum); G411(enum); G427(enum); G448(enum); G452(enum); G469(enum); G524(enum); G526(enum); G540(enum); G570(enum); G608(enum)
11,25,0.9179,0.0196,0.9002,0.0249,0.8868,0.9141,0,0.0,0.0,G9(enum); G39(enum); G40(enum); G41(enum); G101(enum); G113(enum); G185(enum); G204(enum); G226(enum); G266(enum); G273(enum); G277(enum); G286(enum); G325(enum); G348(enum); G427(enum); G448(enum); G452(enum); G469(enum); G524(enum); G526(enum); G540(enum); G593(enum); G596(enum); G608(enum)
71,28,0.9189,0.0202,0.8988,0.0257,0.8866,0.9113,1,0.022,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G106(enum); G113(enum); G196(enum); G204(enum); G246(enum); G266(enum); G267(enum); G273(enum); G325(enum); G348(enum); G380(enum); G409(enum); G411(enum); G413(enum); G427(enum); G448(enum); G524(enum); G526(enum); G540(enum); G608(enum); G666(enum); R14
55,14,0.9175,0.021,0.8941,0.0252,0.8768,0.912,0,0.0,0.0,G39(enum); G113(enum); G204(enum); G266(enum); G273(enum); G277(enum); G308(enum); G327(enum); G350(enum); G380(enum); G526(enum); G540(enum); G638(enum); G647(enum)
