base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,15,0,0.000,0.000
1,12,1,0.034,0.056
2,28,2,0.045,0.111
3,25,2,0.049,0.111
4,12,0,0.000,0.000
5,16,0,0.000,0.000
6,13,1,0.033,0.056
7,26,1,0.023,0.056
8,14,0,0.000,0.000
9,25,0,0.000,0.000
10,12,0,0.000,0.000
11,17,1,0.029,0.056
12,20,1,0.027,0.056
13,28,1,0.022,0.056
14,13,0,0.000,0.000
15,19,1,0.028,0.056
16,21,0,0.000,0.000
17,22,1,0.026,0.056
18,12,0,0.000,0.000
19,15,1,0.031,0.056
20,17,0,0.000,0.000
21,27,2,0.047,0.111
22,23,2,0.051,0.111
23,16,0,0.000,0.000
24,22,1,0.026,0.056
25,18,0,0.000,0.000
26,19,0,0.000,0.000
27,14,0,0.000,0.000
28,20,1,0.027,0.056
29,25,0,0.000,0.000
30,18,0,0.000,0.000
31,21,1,0.026,0.056
32,15,1,0.031,0.056
33,16,0,0.000,0.000
34,27,2,0.047,0.111
35,12,0,0.000,0.000
36,16,0,0.000,0.000
37,24,2,0.050,0.111
38,18,1,0.029,0.056
39,24,2,0.050,0.111
40,23,2,0.051,0.111
41,12,0,0.000,0.000
42,20,1,0.027,0.056
43,15,1,0.031,0.056
44,14,0,0.000,0.000
45,17,0,0.000,0.000
46,14,0,0.000,0.000
47,21,1,0.026,0.056
48,12,1,0.034,0.056
49,15,1,0.031,0.056
50,13,2,0.069,0.111
51,16,0,0.000,0.000
52,21,1,0.026,0.056
53,21,1,0.026,0.056
54,21,1,0.026,0.056
55,12,1,0.034,0.056
56,17,0,0.000,0.000
57,23,2,0.051,0.111
58,13,0,0.000,0.000
59,16,2,0.062,0.111
60,22,2,0.053,0.111
61,15,2,0.065,0.111
62,12,0,0.000,0.000
63,16,1,0.030,0.056
64,16,1,0.030,0.056
65,18,0,0.000,0.000
66,23,0,0.000,0.000
67,25,2,0.049,0.111
68,16,2,0.062,0.111
69,12,1,0.034,0.056
70,23,2,0.051,0.111
71,12,0,0.000,0.000
72,21,1,0.026,0.056
73,18,2,0.059,0.111
74,17,0,0.000,0.000
75,16,2,0.062,0.111
76,12,0,0.000,0.000
77,14,1,0.032,0.056
78,28,3,0.070,0.167
79,12,0,0.000,0.000
