base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,14,0,0.000,0.000
1,23,1,0.025,0.056
2,12,0,0.000,0.000
3,29,2,0.044,0.111
4,13,0,0.000,0.000
5,12,0,0.000,0.000
6,17,0,0.000,0.000
7,12,0,0.000,0.000
8,22,1,0.026,0.056
9,13,0,0.000,0.000
10,24,1,0.024,0.056
11,26,1,0.023,0.056
12,14,1,0.032,0.056
13,16,0,0.000,0.000
14,13,0,0.000,0.000
15,13,0,0.000,0.000
16,12,1,0.034,0.056
17,22,1,0.026,0.056
18,19,0,0.000,0.000
19,25,1,0.024,0.056
20,18,0,0.000,0.000
21,27,1,0.023,0.056
22,19,0,0.000,0.000
23,20,1,0.027,0.056
24,16,1,0.030,0.056
25,14,0,0.000,0.000
26,29,1,0.022,0.056
27,15,1,0.031,0.056
28,15,1,0.031,0.056
29,25,1,0.024,0.056
30,27,1,0.023,0.056
31,24,1,0.024,0.056
32,28,1,0.022,0.056
33,28,1,0.022,0.056
34,21,1,0.026,0.056
35,20,1,0.027,0.056
36,18,0,0.000,0.000
37,23,1,0.025,0.056
38,17,1,0.029,0.056
39,21,1,0.026,0.056
40,12,0,0.000,0.000
41,14,0,0.000,0.000
42,17,1,0.029,0.056
43,16,0,0.000,0.000
44,14,0,0.000,0.000
45,15,0,0.000,0.000
46,14,0,0.000,0.000
47,13,0,0.000,0.000
48,12,0,0.000,0.000
49,17,1,0.029,0.056
50,12,0,0.000,0.000
51,12,0,0.000,0.000
52,14,0,0.000,0.000
53,12,0,0.000,0.000
54,17,1,0.029,0.056
55,16,0,0.000,0.000
56,13,1,0.033,0.056
57,22,1,0.026,0.056
58,19,0,0.000,0.000
59,12,0,0.000,0.000
60,19,0,0.000,0.000
61,12,0,0.000,0.000
62,15,1,0.031,0.056
63,15,0,0.000,0.000
64,12,0,0.000,0.000
65,12,0,0.000,0.000
66,13,0,0.000,0.000
67,23,1,0.025,0.056
68,19,0,0.000,0.000
69,14,1,0.032,0.056
70,15,0,0.000,0.000
71,13,0,0.000,0.000
72,12,0,0.000,0.000
73,23,1,0.025,0.056
74,12,1,0.034,0.056
75,13,0,0.000,0.000
76,22,1,0.026,0.056
77,16,0,0.000,0.000
78,14,1,0.032,0.056
79,14,0,0.000,0.000
80,13,0,0.000,0.000
81,18,0,0.000,0.000
82,15,0,0.000,0.000
83,13,1,0.033,0.056
84,13,0,0.000,0.000
85,13,0,0.000,0.000
86,16,0,0.000,0.000
87,14,0,0.000,0.000
88,17,0,0.000,0.000
89,23,1,0.025,0.056
90,18,0,0.000,0.000
91,12,0,0.000,0.000
92,22,1,0.026,0.056
93,17,1,0.029,0.056
94,18,0,0.000,0.000
95,15,0,0.000,0.000
96,17,0,0.000,0.000
97,17,0,0.000,0.000
98,14,1,0.032,0.056
99,16,0,0.000,0.000
100,14,0,0.000,0.000
101,16,0,0.000,0.000
102,14,0,0.000,0.000
103,23,1,0.025,0.056
104,12,1,0.034,0.056
105,16,0,0.000,0.000
106,14,0,0.000,0.000
107,13,0,0.000,0.000
108,14,1,0.032,0.056
109,15,0,0.000,0.000
110,13,1,0.033,0.056
111,19,1,0.028,0.056
112,16,1,0.030,0.056
113,17,0,0.000,0.000
114,17,1,0.029,0.056
115,16,0,0.000,0.000
116,12,1,0.034,0.056
117,19,0,0.000,0.000
118,20,0,0.000,0.000
119,19,0,0.000,0.000
120,16,0,0.000,0.000
121,12,0,0.000,0.000
122,12,0,0.000,0.000
123,14,0,0.000,0.000
124,16,1,0.030,0.056
125,13,0,0.000,0.000
126,27,1,0.023,0.056
127,17,0,0.000,0.000
128,16,0,0.000,0.000
129,12,0,0.000,0.000
130,13,1,0.033,0.056
131,13,0,0.000,0.000
132,20,1,0.027,0.056
133,19,1,0.028,0.056
134,17,0,0.000,0.000
135,16,1,0.030,0.056
136,16,0,0.000,0.000
137,16,1,0.030,0.056
138,20,0,0.000,0.000
139,13,0,0.000,0.000
140,14,1,0.032,0.056
141,19,1,0.028,0.056
142,12,0,0.000,0.000
143,15,2,0.065,0.111
144,15,0,0.000,0.000
145,17,1,0.029,0.056
146,15,0,0.000,0.000
147,12,0,0.000,0.000
148,20,1,0.027,0.056
149,17,0,0.000,0.000
