base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
30,27,0.9284,0.0203,0.928,0.0207,0.9308,0.9251,1,0.023,0.056,G12(enum); G17(enum); G124(enum); G128(enum); G212(enum); G217(enum); G224(enum); G250(enum); G252(enum); G257(enum); G295(enum); G298(enum); G316(enum); G329(enum); G336(enum); G337(enum); G341(enum); G345(enum); G501(enum); G509(enum); G535(enum); G564(enum); G577(enum); G642(enum); G678(enum); G680(enum); R6
26,29,0.9286,0.0207,0.928,0.021,0.9318,0.9242,1,0.022,0.056,G12(enum); G17(enum); G124(enum); G128(enum); G212(enum); G217(enum); G219(enum); G224(enum); G240(enum); G250(enum); G252(enum); G257(enum); G295(enum); G298(enum); G316(enum); G329(enum); G336(enum); G337(enum); G341(enum); G345(enum); G509(enum); G535(enum); G576(enum); G577(enum); G583(enum); G642(enum); G678(enum); G680(enum); R6
1,23,0.9288,0.0216,0.9278,0.0218,0.9341,0.9216,1,0.025,0.056,G12(enum); G97(enum); G124(enum); G212(enum); G224(enum); G229(enum); G250(enum); G252(enum); G289(enum); G298(enum); G301(enum); G316(enum); G336(enum); G337(enum); G341(enum); G348(enum); G372(enum); G509(enum); G519(enum); G564(enum); G577(enum); G678(enum); R6
118,20,0.9279,0.0221,0.9258,0.0227,0.933,0.9186,0,0.0,0.0,G12(enum); G17(enum); G40(enum); G103(enum); G212(enum); G217(enum); G219(enum); G224(enum); G252(enum); G295(enum); G316(enum); G336(enum); G345(enum); G348(enum); G509(enum); G535(enum); G576(enum); G610(enum); G642(enum); G678(enum)
3,29,0.9272,0.0192,0.9258,0.0196,0.9235,0.9281,2,0.044,0.111,G12(enum); G15(enum); G124(enum); G212(enum); G217(enum); G219(enum); G224(enum); G252(enum); G289(enum); G301(enum); G310(enum); G315(enum); G316(enum); G334(enum); G336(enum); G341(enum); G345(enum); G349(enum); G416(enum); G509(enum); G516(enum); G535(enum); G577(enum); G649(enum); G672(enum); G680(enum); G689(wm); R6; R15
57,22,0.9265,0.0198,0.9257,0.0201,0.9249,0.9265,1,0.026,0.056,G12(enum); G15(enum); G47(enum); G83(enum); G113(enum); G212(enum); G228(enum); G250(enum); G252(enum); G257(enum); G336(enum); G341(enum); G349(enum); G372(enum); G509(enum); G552(enum); G577(enum); G584(enum); G661(enum); G680(enum); G689(wm); R6
37,23,0.9276,0.0212,0.9254,0.0219,0.9298,0.921,1,0.025,0.056,G12(enum); G17(enum); G118(enum); G131(enum); G212(enum); G219(enum); G224(enum); G250(enum); G252(enum); G257(enum); G301(enum); G316(enum); G329(enum); G336(enum); G337(enum); G345(enum); G381(enum); G509(enum); G535(enum); G564(enum); G577(enum); G680(enum); R6
133,19,0.9272,0.021,0.9253,0.0214,0.9281,0.9225,1,0.028,0.056,G12(enum); G97(enum); G124(enum); G212(enum); G224(enum); G225(enum); G252(enum); G257(enum); G301(enum); G316(enum); G336(enum); G341(enum); G345(enum); G408(enum); G509(enum); G577(enum); G680(enum); G689(wm); R6
145,17,0.927,0.021,0.9251,0.0214,0.9277,0.9225,1,0.029,0.056,G12(enum); G97(enum); G124(enum); G212(enum); G219(enum); G225(enum); G252(enum); G257(enum); G316(enum); G336(enum); G341(enum); G345(enum); G509(enum); G577(enum); G680(enum); G689(wm); R6
39,21,0.9262,0.0194,0.9251,0.0197,0.9224,0.9278,1,0.026,0.056,G12(enum); G15(enum); G113(enum); G212(enum); G217(enum); G228(enum); G250(enum); G252(enum); G257(enum); G336(enum); G341(enum); G349(enum); G509(enum); G516(enum); G552(enum); G577(enum); G584(enum); G661(enum); G680(enum); G689(wm); R6
