sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
660000,24,14,296,326,0,19,2,5,26,11,31,13,0,0,660,detection,
454000,13,14,311,275,0,18,6,7,10,0,24,5,0,0,454,detection,
604000,20,13,305,315,0,25,5,3,5,2,14,17,0,0,604,detection,
268000,26,21,325,294,0,23,2,4,1,9,49,32,0,0,268,detection,
1187000,20,11,286,305,0,7,23,24,12,1,64,22,0,0,1187,detection,
1401000,27,12,308,324,0,28,14,3,4,3,41,11,0,0,1401,detection,
1096000,25,24,303,301,0,16,24,26,15,5,27,3,0,0,1096,detection,
910000,12,21,300,293,0,15,3,7,10,4,48,4,0,0,910,detection,
595000,3,19,274,302,0,5,35,5,38,17,8,24,0,0,595,detection,
510000,30,20,294,320,0,20,5,17,36,21,36,17,0,0,510,detection,
1226000,18,16,328,292,0,8,13,19,8,7,11,1,0,0,1226,detection,
635000,30,4,320,323,0,20,1,31,3,8,20,12,0,0,635,detection,
1284000,22,4,327,296,0,19,6,17,11,28,6,22,0,0,1284,detection,
1167000,15,11,324,320,0,3,18,10,15,17,52,5,0,0,1167,detection,
1230000,24,20,298,274,0,38,0,19,17,14,37,11,0,0,1230,detection,
1546000,4,28,297,319,0,18,19,5,27,20,23,5,0,0,1546,detection,
494000,13,17,314,274,0,1,8,4,19,4,14,11,0,0,494,detection,
455000,12,18,279,272,0,3,9,5,22,20,35,9,0,0,455,detection,
1687000,13,25,294,294,0,22,21,28,10,3,20,22,0,0,1687,detection,
1073000,4,30,319,305,0,11,23,20,17,3,32,6,0,0,1073,detection,
1621000,20,13,295,326,0,4,10,0,8,3,32,13,0,0,1621,detection,
503000,16,27,292,314,0,11,19,6,23,41,21,1,0,0,503,detection,
885000,14,3,326,304,0,2,13,17,18,1,41,13,0,0,885,detection,
640000,18,12,296,319,0,11,5,8,1,22,48,17,0,0,640,detection,
286000,19,12,316,288,0,9,28,4,8,8,23,1,0,0,286,detection,
147000,26,4,321,272,0,14,2,37,14,3,6,26,0,0,147,detection,
883000,22,12,302,325,0,1,17,4,6,4,9,2,0,0,883,detection,
1019000,22,27,286,308,0,0,12,11,27,5,37,3,0,0,1019,detection,
107000,22,3,300,329,0,5,17,0,21,24,32,8,0,0,107,detection,
306000,29,26,316,298,0,25,39,3,5,11,29,18,0,0,306,detection,
78000,15,19,307,271,0,9,7,7,7,29,35,8,0,0,78,detection,
1026000,29,15,295,284,0,13,7,1,16,2,38,5,0,0,1026,detection,
1131000,17,4,279,286,0,30,14,13,42,16,5,19,0,0,1131,detection,
1219000,3,26,272,305,0,3,15,6,11,10,32,50,0,0,1219,detection,
1120000,20,24,306,288,0,1,11,1,1,25,52,6,0,0,1120,detection,
525000,27,11,274,311,0,10,1,8,7,4,8,26,0,0,525,detection,
1592000,26,27,319,276,0,12,27,28,11,16,29,26,0,0,1592,detection,
1742000,3,23,308,318,0,16,13,5,17,9,22,15,0,0,1742,detection,
468000,4,14,279,309,0,11,3,5,11,4,30,16,0,0,468,detection,
