sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
26842,22,28,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26842,7,28,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
27821,1,14,768,768,0,0,0,0,0,0,0,0,0,0,27,detection,
27840,15,14,768,768,0,0,0,0,0,0,0,0,0,0,27,detection,
27945,23,21,768,768,0,0,0,0,0,0,0,0,0,0,27,detection,
27959,4,21,768,768,0,0,0,0,0,0,0,0,0,0,27,detection,
28104,1,19,768,768,0,0,0,0,0,0,0,0,0,0,28,detection,
28134,16,19,768,768,0,0,0,0,0,0,0,0,0,0,28,detection,
28173,12,19,768,768,0,0,0,0,0,0,0,0,0,0,28,detection,
28176,10,2,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28233,1,2,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28344,1,16,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28373,11,16,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28428,10,4,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28472,1,4,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28569,1,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28619,14,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28623,11,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28637,16,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28674,21,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28674,12,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
28679,19,26,512,512,0,0,0,0,0,0,0,0,0,0,28,detection,
30340,7,22,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30341,15,22,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30386,13,22,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30511,13,30,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30554,18,30,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30594,22,30,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30601,6,30,1280,1280,0,0,0,0,0,0,0,0,0,0,30,detection,
30636,13,7,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30659,17,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30665,2,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30680,5,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30681,18,7,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30702,3,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30707,4,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30717,15,7,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30717,22,7,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30728,6,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30736,8,10,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
31428,21,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31432,10,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31435,5,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31448,23,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31458,4,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31479,6,27,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31682,18,15,1280,1280,0,0,0,0,0,0,0,0,0,0,31,detection,
31703,3,31,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31732,24,31,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31738,8,31,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31758,9,31,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31803,21,23,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31803,19,23,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
32294,2,29,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32303,21,29,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32308,10,29,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32335,4,29,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
33172,12,16,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33180,19,16,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33202,1,16,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33247,11,16,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33304,19,4,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33377,11,14,742,742,0,0,0,0,0,0,0,0,0,0,33,detection,
33420,1,14,742,742,0,0,0,0,0,0,0,0,0,0,33,detection,
33433,18,14,742,742,0,0,0,0,0,0,0,0,0,0,33,detection,
33515,1,26,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33547,12,26,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33551,19,26,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33552,21,26,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33624,11,26,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33696,1,28,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33716,15,28,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
33718,7,28,512,512,0,0,0,0,0,0,6,0,0,0,33,detection,
33718,22,28,512,512,0,0,0,0,0,0,6,0,0,0,33,detection,
33750,11,28,512,512,0,0,0,0,0,0,0,0,0,0,33,detection,
