sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
26158,1,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26172,22,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26180,3,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26198,13,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26210,4,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26223,8,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26232,20,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26275,24,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26278,7,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26278,2,9,768,768,0,0,0,0,0,0,0,0,0,0,26,detection,
26315,1,24,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26338,9,24,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26380,6,24,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26403,2,24,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26419,28,24,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26471,1,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26476,8,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26480,14,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26481,20,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26514,16,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26524,24,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26528,7,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26545,22,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26545,28,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26553,3,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26569,18,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26575,13,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26583,4,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26588,9,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26591,23,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
26595,10,2,512,512,0,0,0,0,0,0,0,0,0,0,26,detection,
27011,1,20,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
27131,6,20,512,512,0,0,0,0,0,0,0,0,0,0,27,detection,
30007,6,28,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30033,17,16,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30063,21,16,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30093,25,16,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30169,22,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30178,3,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30199,18,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30199,13,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30212,4,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30216,9,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30220,25,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30224,10,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30234,20,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30263,16,8,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30297,5,14,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30299,22,14,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30300,1,6,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30301,12,14,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30321,18,14,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30572,18,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30577,13,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30585,4,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30589,9,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30593,25,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30596,10,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30602,8,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30605,14,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30634,27,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30640,16,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30657,7,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30686,21,30,768,768,0,0,0,0,0,0,0,0,0,0,30,detection,
30718,25,29,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30737,19,23,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30757,6,23,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30884,27,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30906,7,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30940,21,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30954,13,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30963,4,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30968,9,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30971,25,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30975,10,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30979,8,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
30983,14,18,1024,1024,0,0,0,0,0,0,0,0,0,0,30,detection,
31604,8,3,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31641,16,3,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31659,7,3,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31685,1,3,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31698,18,3,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31922,22,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31929,12,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31930,3,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31939,21,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31949,18,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31953,13,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31971,25,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31974,10,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31979,8,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
31982,14,4,1024,1024,0,0,0,0,0,0,0,0,0,0,31,detection,
32011,27,4,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32016,16,4,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32702,13,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32719,9,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32728,8,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32735,14,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32764,27,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32782,2,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32799,22,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32806,12,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
32816,21,10,1024,1024,0,0,0,0,0,0,0,0,0,0,32,detection,
33180,3,13,1024,1024,0,0,0,0,0,0,0,0,0,0,33,detection,
33180,12,13,1024,1024,0,0,0,0,0,0,0,0,0,0,33,detection,
33221,25,13,1024,1024,0,0,0,0,0,0,0,0,0,0,33,detection,
33230,8,13,1024,1024,0,0,0,0,0,0,0,0,0,0,33,detection,
33762,27,21,1280,1280,0,0,0,0,0,0,0,0,0,0,33,detection,
33767,16,21,1280,1280,0,0,0,0,0,0,0,0,0,0,33,detection,
33802,12,5,1536,1536,0,0,0,0,0,0,0,0,0,0,33,detection,
33972,25,17,1536,1536,0,0,0,0,0,0,0,0,0,0,33,detection,
34008,1,24,512,512,0,0,0,0,0,0,0,0,0,0,34,detection,
34132,6,24,512,512,0,0,0,0,0,0,1,0,0,0,34,detection,
34333,26,27,1280,1280,0,0,0,0,0,0,0,0,0,0,34,detection,
34357,20,2,512,512,0,0,0,0,0,0,0,0,0,0,34,detection,
34423,28,19,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
34631,1,9,512,512,0,0,0,0,0,0,4,0,0,0,34,detection,
34643,16,9,512,512,0,0,0,0,0,0,0,0,0,0,34,detection,
34656,7,9,512,512,0,0,0,0,0,0,7,0,0,0,34,detection,
34659,2,9,512,512,0,0,0,0,0,0,8,0,0,0,34,detection,
34852,10,12,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
34857,11,12,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
34862,19,12,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
34921,5,12,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
34965,23,12,1536,1536,0,0,0,0,0,0,0,0,0,0,34,detection,
35285,1,20,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
35379,6,20,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
35402,24,20,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
35741,1,6,1024,1024,0,0,0,0,0,0,3,0,0,0,35,detection,
35774,24,6,1024,1024,0,0,0,0,0,0,0,0,0,0,35,detection,
35939,21,16,1024,1024,0,0,0,0,0,0,1,0,0,0,35,detection,
36015,27,16,1024,1024,0,0,0,0,0,0,0,0,0,0,36,detection,
36487,19,28,1024,1024,0,0,0,0,0,0,0,0,0,0,36,detection,
36658,7,13,768,768,0,0,0,0,0,0,0,0,0,0,36,detection,
36674,28,13,768,768,0,0,0,0,0,0,0,0,0,0,36,detection,
36677,3,13,768,768,0,0,0,0,0,0,4,0,0,0,36,detection,
36720,9,13,768,768,0,0,0,0,0,0,0,0,0,0,36,detection,
37064,21,30,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37091,9,30,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37096,25,30,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37104,8,30,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37331,13,22,1024,1024,0,0,0,0,0,0,0,0,0,0,37,detection,
37452,1,3,768,768,0,0,0,0,0,0,4,0,0,0,37,detection,
37483,20,3,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37526,24,3,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
37529,7,3,768,768,0,0,0,0,0,0,6,0,0,0,37,detection,
37532,2,3,768,768,0,0,0,0,0,0,0,0,0,0,37,detection,
