base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,1,0,0.000,0.000
1,2,0,0.000,0.000
2,2,0,0.000,0.000
3,2,0,0.000,0.000
4,2,0,0.000,0.000
5,2,0,0.000,0.000
6,2,0,0.000,0.000
7,2,0,0.000,0.000
8,2,0,0.000,0.000
9,2,0,0.000,0.000
10,2,0,0.000,0.000
11,2,0,0.000,0.000
12,2,0,0.000,0.000
13,2,0,0.000,0.000
14,2,0,0.000,0.000
15,2,0,0.000,0.000
16,2,0,0.000,0.000
17,2,0,0.000,0.000
18,2,0,0.000,0.000
19,2,0,0.000,0.000
20,2,0,0.000,0.000
21,2,0,0.000,0.000
22,2,0,0.000,0.000
23,2,0,0.000,0.000
24,2,0,0.000,0.000
