base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
1,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G11(enum); G67(enum)
2,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G147(enum)
3,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G428(enum)
4,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G421(enum)
5,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G149(enum)
6,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G344(enum)
7,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G343(enum)
8,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G327(enum)
9,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G134(enum)
10,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G330(enum)
11,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G345(enum)
12,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G12(enum); G67(enum)
13,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G5(enum); G67(enum)
14,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G13(enum); G67(enum)
15,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G422(enum)
16,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G329(enum)
17,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G8(enum); G67(enum)
18,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G6(enum); G67(enum)
19,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G328(enum)
20,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G148(enum)
21,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G420(enum)
22,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G67(enum); G135(enum)
23,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G7(enum); G67(enum)
24,2,0.9956,0.0,0.9946,0.0,0.9893,1.0,0,0.0,0.0,G14(enum); G67(enum)
0,1,0.9944,0.0,0.994,0.0,0.9882,1.0,0,0.0,0.0,G67(enum)
