sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
35394,1,18,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
35489,14,18,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
35510,19,18,512,512,0,0,0,0,0,0,0,0,0,0,35,detection,
39142,20,19,768,768,0,0,0,0,0,0,0,0,0,0,39,detection,
39153,1,14,1024,1024,0,0,0,0,0,0,0,0,0,0,39,detection,
39224,10,14,1024,1024,0,0,0,0,0,0,0,0,0,0,39,detection,
42699,21,20,1024,1024,0,0,0,0,0,0,0,0,0,0,42,detection,
42769,16,20,1024,1024,0,0,0,0,0,0,0,0,0,0,42,detection,
42773,19,20,1024,1024,0,0,0,0,0,0,0,0,0,0,42,detection,
42853,10,26,1536,1536,0,0,0,0,0,0,0,0,0,0,42,detection,
42860,11,26,1536,1536,0,0,0,0,0,0,0,0,0,0,42,detection,
42879,14,26,1536,1536,0,0,0,0,0,0,0,0,0,0,42,detection,
42882,15,26,1536,1536,0,0,0,0,0,0,0,0,0,0,42,detection,
43044,6,10,1280,1280,0,0,0,0,0,0,0,0,0,0,43,detection,
43088,1,18,512,512,0,0,0,0,0,0,0,0,0,0,43,detection,
43109,11,10,1280,1280,0,0,0,0,0,0,0,0,0,0,43,detection,
43131,19,18,512,512,0,0,0,0,0,0,1,0,0,0,43,detection,
44539,1,14,768,768,0,0,0,0,0,0,4,0,0,0,44,detection,
44595,10,14,768,768,0,0,0,0,0,0,6,0,0,0,44,detection,
44627,18,14,768,768,0,0,0,0,0,0,0,0,0,0,44,detection,
44632,15,14,768,768,0,0,0,0,0,0,0,0,0,0,44,detection,
45512,12,16,1536,1536,0,0,0,0,0,0,0,0,0,0,45,detection,
45526,20,16,1536,1536,0,0,0,0,0,0,0,0,0,0,45,detection,
45602,17,16,1536,1536,0,0,0,0,0,0,0,0,0,0,45,detection,
46230,17,21,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46277,20,21,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46445,7,11,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46484,10,11,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46514,12,11,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46611,10,6,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46652,2,6,1536,1536,0,0,0,0,0,0,0,0,0,0,46,detection,
46828,21,25,1280,1280,0,0,0,0,0,0,0,0,0,0,46,detection,
46854,17,25,1280,1280,0,0,0,0,0,0,0,0,0,0,46,detection,
47014,19,15,1024,1024,0,0,0,0,0,0,0,0,0,0,47,detection,
47251,18,19,793,793,0,0,0,0,0,0,0,0,0,0,47,detection,
47258,15,19,793,793,0,0,0,0,0,0,0,0,0,0,47,detection,
47262,20,19,793,793,0,0,0,0,0,0,1,0,0,0,47,detection,
48223,10,26,1024,1024,0,0,0,0,0,0,4,0,0,0,48,detection,
48230,11,26,1024,1024,0,0,0,0,0,0,6,0,0,0,48,detection,
48248,14,26,1024,1024,0,0,0,0,0,0,4,0,0,0,48,detection,
48252,15,26,1024,1024,0,0,0,0,0,0,6,0,0,0,48,detection,
49365,8,12,2048,2048,0,0,0,0,0,0,0,0,0,0,49,detection,
49394,16,17,1792,1792,0,0,0,0,0,0,0,0,0,0,49,detection,
49427,13,17,1792,1792,0,0,0,0,0,0,0,0,0,0,49,detection,
49451,21,17,1792,1792,0,0,0,0,0,0,0,0,0,0,49,detection,
50279,2,24,2048,2048,0,0,0,0,0,0,0,0,0,0,50,detection,
