base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
75,12,4,4,2,2,0.8721,0.0345,0.9944,0.004,1.0,0.9888,8,0.276,"RA:AG19,A1,A2,A4|SI:BG2,BG8,B1,B3|CX:CG4,C5|TOP:T4,T5"
60,13,3,4,2,4,0.8731,0.0365,0.9944,0.004,1.0,0.9888,6,0.188,"RA:AG5,AG12,A2|SI:BG2,BG8,B3,B4|CX:CG2,C1|TOP:TG2,TG13,T2,T5"
56,16,4,3,3,6,0.8752,0.0378,0.9943,0.004,1.0,0.9887,7,0.206,"RA:AG12,AG19,AG26,A2|SI:BG2,B3,B4|CX:CG2,C1,C4|TOP:TG2,TG13,TG16,TG20,T2,T5"
33,17,5,5,4,3,0.889,0.0384,0.9939,0.0043,1.0,0.9879,9,0.273,"RA:AG8,AG15,AG16,A2,A3|SI:BG2,BG7,BG8,B3,B4|CX:C1,C3,C4,C5|TOP:TG2,TG13,T5"
45,22,6,6,3,7,0.8897,0.0384,0.9936,0.0046,1.0,0.9872,12,0.343,"RA:AG3,AG8,AG15,AG26,A2,A3|SI:BG2,BG7,B1,B2,B3,B4|CX:C3,C4,C5|TOP:TG2,TG11,TG13,TG16,T1,T4,T5"
3,12,4,2,3,3,0.8918,0.0388,0.9928,0.0051,1.0,0.9858,6,0.194,"RA:AG15,AG19,AG26,A2|SI:BG2,B3|CX:C1,C4,C5|TOP:TG2,TG13,T2"
22,22,5,6,4,7,0.8731,0.0328,0.9922,0.004,0.9955,0.9888,9,0.237,"RA:AG8,AG16,AG20,A2,A3|SI:BG2,BG4,BG7,BG8,B3,B4|CX:CG2,C3,C4,C5|TOP:TG2,TG3,TG13,TG16,TG20,T5,T8"
25,21,5,6,3,7,0.8724,0.0315,0.9918,0.0039,0.9947,0.9889,9,0.243,"RA:AG8,AG16,AG20,A2,A3|SI:BG2,BG4,BG7,BG8,B3,B4|CX:C3,C4,C5|TOP:TG2,TG3,TG13,TG16,TG20,T5,T8"
14,28,7,8,5,8,0.886,0.0355,0.9912,0.0048,0.9959,0.9865,12,0.293,"RA:AG3,AG8,AG19,AG24,AG26,A2,A4|SI:BG1,BG2,BG4,BG7,BG8,B1,B3,B4|CX:CG2,CG3,C3,C4,C5|TOP:TG2,TG11,TG13,TG16,T2,T4,T5,T8"
65,23,2,7,4,10,0.8733,0.0323,0.9907,0.004,0.9926,0.9888,10,0.263,"RA:AG8,A2|SI:BG2,BG4,BG7,BG8,B1,B3,B4|CX:CG3,C3,C4,C5|TOP:TG2,TG3,TG7,TG11,TG13,TG16,TG20,T2,T5,T6"
13,23,6,5,5,7,0.8857,0.0338,0.9905,0.0051,0.9953,0.9857,9,0.231,"RA:AG3,AG17,AG18,AG26,AG27,A2|SI:BG2,BG4,BG8,B1,B4|CX:CG2,CG3,C2,C3,C5|TOP:TG2,TG7,TG10,TG13,T2,T4,T8"
16,18,4,5,3,6,0.8793,0.037,0.9894,0.0057,0.9948,0.984,11,0.344,"RA:AG8,AG15,A1,A2|SI:BG2,BG4,BG8,B1,B3|CX:CG3,C4,C5|TOP:TG13,T2,T4,T5,T7,T8"
71,17,4,4,3,6,0.8779,0.0347,0.9883,0.0056,0.9925,0.9841,11,0.355,"RA:AG15,A1,A2,A4|SI:BG2,BG4,BG8,B1|CX:CG3,C4,C5|TOP:TG13,T2,T4,T5,T7,T8"
15,19,8,4,2,5,0.8694,0.0266,0.9853,0.0034,0.9805,0.9902,9,0.257,"RA:AG5,AG10,AG16,AG18,AG19,A1,A2,A3|SI:BG2,BG8,B2,B3|CX:CG3,C5|TOP:TG3,TG13,T2,T5,T7"
5,14,5,4,2,3,0.8666,0.0268,0.9846,0.0034,0.9791,0.9902,9,0.3,"RA:AG5,AG19,A1,A2,A4|SI:BG2,BG8,B1,B2|CX:CG3,C5|TOP:T4,T5,T8"
44,15,6,4,2,3,0.8632,0.0254,0.9846,0.0034,0.9791,0.9902,9,0.29,"RA:AG5,AG15,AG19,A1,A2,A4|SI:BG2,BG8,B1,B3|CX:CG3,C5|TOP:T4,T5,T7"
23,15,3,4,2,6,0.8251,0.0141,0.9802,0.0032,0.9701,0.9906,8,0.25,"RA:AG19,A1,A2|SI:BG2,BG8,B1,B2|CX:CG3,C5|TOP:TG3,TG13,TG20,T2,T5,T8"
46,15,4,4,2,5,0.8251,0.0141,0.9802,0.0032,0.9701,0.9906,10,0.333,"RA:AG19,A1,A2,A4|SI:BG2,BG8,B1,B2|CX:CG3,C5|TOP:TG3,T2,T4,T5,T8"
17,16,3,5,2,6,0.8268,0.0141,0.9802,0.0032,0.9701,0.9906,10,0.323,"RA:AG19,A1,A2|SI:BG2,BG8,B1,B2,B3|CX:CG3,C5|TOP:TG3,TG13,T2,T4,T5,T8"
