base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
1,23,9,2,3,9,0.9285,0.0199,0.928,0.0201,0.9289,0.927,9,0.231,"RA:AG5,AG10,AG16,AG19,AG20,AG23,AG29,A1,A2|SI:BG2,B3|CX:CG2,CG3,C5|TOP:TG3,TG9,TG13,TG15,T2,T3,T4,T6,T8"
70,19,7,2,3,7,0.9205,0.0198,0.9215,0.0196,0.9156,0.9276,9,0.257,"RA:AG6,AG8,AG19,AG20,AG27,A1,A2|SI:BG6,B3|CX:CG3,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
11,25,10,2,5,8,0.9202,0.0195,0.9204,0.0192,0.9122,0.9288,12,0.316,"RA:AG1,AG10,AG16,AG19,AG23,AG27,AG29,A1,A2,A4|SI:BG2,B3|CX:CG2,CG3,C2,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T6,T8"
4,15,4,3,3,5,0.9193,0.0276,0.9188,0.0278,0.9358,0.9024,8,0.25,"RA:AG18,AG19,AG24,A3|SI:BG2,BG7,B3|CX:C3,C4,C5|TOP:TG9,TG15,T2,T4,T5"
35,23,7,3,4,9,0.9162,0.0178,0.9172,0.0178,0.9022,0.9328,11,0.297,"RA:AG8,AG16,AG19,AG23,AG29,A1,A2|SI:BG6,B3,B4|CX:CG2,CG3,C4,C5|TOP:TG3,TG9,TG13,TG15,T2,T3,T4,T5,T8"
37,26,9,6,2,9,0.9195,0.0191,0.9172,0.0195,0.9074,0.9272,12,0.308,"RA:AG1,AG5,AG10,AG16,AG19,AG27,AG29,A1,A2|SI:BG2,BG6,B1,B3,B4,B5|CX:CG2,C5|TOP:TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6"
17,13,4,3,1,5,0.9183,0.0253,0.9169,0.0258,0.926,0.9079,6,0.188,"RA:AG19,AG24,A3,A6|SI:BG2,BG7,B3|CX:C5|TOP:TG2,TG9,TG15,T4,T5"
2,29,11,4,3,11,0.9182,0.0189,0.9169,0.0189,0.905,0.9291,13,0.317,"RA:AG1,AG5,AG10,AG16,AG19,AG23,AG25,AG29,A1,A2,A6|SI:BG2,BG6,B3,B4|CX:CG2,C4,C5|TOP:TG3,TG9,TG12,TG13,TG15,T2,T3,T4,T5,T6,T8"
26,27,10,5,2,10,0.9168,0.0186,0.915,0.0189,0.9015,0.9289,13,0.333,"RA:AG1,AG5,AG10,AG16,AG19,AG23,AG29,A1,A2,A6|SI:BG2,BG6,B3,B4,B5|CX:CG2,C5|TOP:TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6,T8"
30,29,9,4,5,11,0.9133,0.0176,0.9136,0.0176,0.8949,0.9331,14,0.35,"RA:AG1,AG10,AG16,AG19,AG23,AG25,AG29,A1,A2|SI:BG6,B1,B3,B4|CX:CG2,CG3,C2,C4,C5|TOP:TG1,TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6,T8"
3,12,5,3,1,3,0.9148,0.0314,0.9128,0.0321,0.9379,0.889,8,0.276,"RA:AG19,AG24,A3,A5,A6|SI:BG2,BG7,B3|CX:C5|TOP:T2,T4,T5"
82,20,9,3,2,6,0.9106,0.0194,0.911,0.0193,0.8953,0.9272,8,0.216,"RA:AG1,AG8,AG9,AG15,AG16,AG19,AG27,A1,A2|SI:BG6,B3,B4|CX:CG4,C5|TOP:TG3,TG9,TG15,T2,T3,T5"
31,26,8,3,4,11,0.9098,0.0175,0.9106,0.0174,0.8888,0.9335,12,0.308,"RA:AG1,AG10,AG16,AG19,AG23,AG29,A1,A2|SI:BG6,B3,B4|CX:CG2,CG3,C4,C5|TOP:TG1,TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6,T8"
117,21,7,2,4,8,0.9072,0.0182,0.9089,0.0176,0.8867,0.9324,10,0.278,"RA:AG1,AG3,AG9,AG16,AG19,A1,A2|SI:BG6,B3|CX:CG2,CG4,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5,T6"
23,22,9,3,2,8,0.9082,0.0183,0.9083,0.0185,0.8881,0.9295,12,0.343,"RA:AG1,AG5,AG6,AG10,AG16,AG19,A1,A2,A4|SI:BG2,B3,B4|CX:C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5,T6"
8,17,5,3,2,7,0.9078,0.0202,0.9076,0.0201,0.8918,0.9239,8,0.235,"RA:AG1,AG3,AG6,AG16,A1|SI:BG6,B3,B4|CX:CG4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
95,15,5,3,2,5,0.9071,0.0243,0.9068,0.0243,0.9031,0.9106,9,0.29,"RA:AG9,AG19,A3,A4,A5|SI:BG2,BG7,B3|CX:C3,C5|TOP:TG10,TG15,T4,T5,T7"
81,14,4,4,2,4,0.9064,0.0247,0.906,0.0247,0.9027,0.9092,9,0.3,"RA:AG1,AG19,A3,A5|SI:BG2,BG7,B1,B3|CX:C3,C5|TOP:TG9,T4,T5,T6"
69,12,5,2,2,3,0.9035,0.0247,0.9044,0.0247,0.8999,0.909,6,0.194,"RA:AG1,AG9,AG18,AG19,A3|SI:BG2,B3|CX:C4,C5|TOP:TG9,T4,T5"
