base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,17,2,0.061,0.111
1,1,0,0.000,0.000
2,4,0,0.000,0.000
3,13,2,0.069,0.111
4,1,1,0.056,0.056
5,2,0,0.000,0.000
6,1,0,0.000,0.000
7,3,2,0.105,0.111
8,2,0,0.000,0.000
9,2,0,0.000,0.000
10,2,0,0.000,0.000
11,3,1,0.050,0.056
12,6,1,0.043,0.056
13,7,1,0.042,0.056
14,8,2,0.083,0.111
15,7,1,0.042,0.056
16,4,2,0.100,0.111
17,6,1,0.043,0.056
18,4,3,0.158,0.167
19,5,1,0.045,0.056
20,13,2,0.069,0.111
21,15,1,0.031,0.056
22,15,1,0.031,0.056
23,2,0,0.000,0.000
24,5,1,0.045,0.056
25,6,1,0.043,0.056
26,8,1,0.040,0.056
27,6,2,0.091,0.111
28,6,1,0.043,0.056
29,7,0,0.000,0.000
30,1,0,0.000,0.000
31,6,3,0.143,0.167
32,5,0,0.000,0.000
33,11,2,0.074,0.111
34,12,1,0.034,0.056
35,10,1,0.037,0.056
36,5,1,0.045,0.056
37,12,1,0.034,0.056
38,11,1,0.036,0.056
39,9,1,0.038,0.056
40,9,1,0.038,0.056
41,10,2,0.077,0.111
42,8,2,0.083,0.111
43,3,1,0.050,0.056
44,3,0,0.000,0.000
45,8,1,0.040,0.056
46,4,1,0.048,0.056
47,1,0,0.000,0.000
48,4,2,0.100,0.111
49,2,1,0.053,0.056
50,5,2,0.095,0.111
51,5,3,0.150,0.167
52,3,1,0.050,0.056
53,9,1,0.038,0.056
54,3,0,0.000,0.000
55,4,1,0.048,0.056
56,3,1,0.050,0.056
57,1,1,0.056,0.056
58,1,0,0.000,0.000
59,3,1,0.050,0.056
60,4,1,0.048,0.056
61,2,1,0.053,0.056
62,6,2,0.091,0.111
63,4,2,0.100,0.111
64,4,2,0.100,0.111
65,2,1,0.053,0.056
66,2,0,0.000,0.000
67,4,2,0.100,0.111
68,4,1,0.048,0.056
69,7,2,0.087,0.111
70,3,2,0.105,0.111
71,3,2,0.105,0.111
72,3,0,0.000,0.000
73,4,1,0.048,0.056
74,4,0,0.000,0.000
75,8,1,0.040,0.056
76,7,1,0.042,0.056
77,9,1,0.038,0.056
78,6,0,0.000,0.000
79,3,1,0.050,0.056
80,10,1,0.037,0.056
81,9,2,0.080,0.111
82,13,1,0.033,0.056
83,7,1,0.042,0.056
84,6,1,0.043,0.056
85,6,1,0.043,0.056
86,12,1,0.034,0.056
87,6,1,0.043,0.056
88,5,0,0.000,0.000
89,5,1,0.045,0.056
90,4,0,0.000,0.000
91,6,2,0.091,0.111
92,2,0,0.000,0.000
93,7,2,0.087,0.111
94,8,1,0.040,0.056
95,3,0,0.000,0.000
96,4,1,0.048,0.056
97,5,1,0.045,0.056
98,4,1,0.048,0.056
99,10,1,0.037,0.056
100,3,1,0.050,0.056
101,5,2,0.095,0.111
102,3,1,0.050,0.056
103,4,0,0.000,0.000
104,6,1,0.043,0.056
105,9,2,0.080,0.111
106,9,1,0.038,0.056
107,7,1,0.042,0.056
108,10,1,0.037,0.056
109,7,2,0.087,0.111
110,7,1,0.042,0.056
111,8,1,0.040,0.056
112,6,1,0.043,0.056
113,7,1,0.042,0.056
114,12,1,0.034,0.056
115,2,0,0.000,0.000
116,6,1,0.043,0.056
117,6,2,0.091,0.111
118,6,1,0.043,0.056
119,5,1,0.045,0.056
