sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
1499000,12,3,308,282,0,0,8,18,13,10,13,7,0,0,1499,detection,
643000,19,29,292,304,0,4,14,3,22,3,24,15,0,0,643,detection,
1084000,18,13,316,326,0,4,30,6,28,17,29,13,0,0,1084,detection,
603000,3,23,270,291,0,27,19,11,2,27,44,15,0,0,603,detection,
689000,30,14,282,298,0,1,25,13,6,0,41,3,0,0,689,detection,
1273000,12,24,293,325,0,4,21,24,16,18,30,13,0,0,1273,detection,
837000,21,26,280,289,0,18,19,5,8,6,64,5,0,0,837,detection,
246000,3,29,286,329,0,29,2,2,9,1,10,21,0,0,246,detection,
579000,20,24,316,287,0,10,2,7,17,7,12,45,0,0,579,detection,
707000,30,24,307,287,0,11,10,16,24,14,8,5,0,0,707,detection,
638000,19,16,287,288,0,12,8,22,17,5,53,5,0,0,638,detection,
1212000,12,15,280,322,0,26,9,7,0,21,63,15,0,0,1212,detection,
1187000,22,24,274,290,0,22,19,18,9,34,56,2,0,0,1187,detection,
766000,13,24,297,322,0,11,2,5,42,8,46,8,0,0,766,detection,
1315000,14,21,323,295,0,17,36,48,2,24,16,20,0,0,1315,detection,
1037000,16,27,302,283,0,6,19,8,16,10,12,9,0,0,1037,detection,
524000,20,22,273,306,0,22,20,33,22,7,15,21,0,0,524,detection,
1421000,16,24,329,317,0,3,6,5,19,9,6,5,0,0,1421,detection,
901000,11,4,319,271,0,7,23,14,22,13,37,11,0,0,901,detection,
803000,24,22,302,308,0,21,29,6,13,23,42,13,0,0,803,detection,
230000,29,16,329,297,0,8,23,0,7,31,14,24,0,0,230,detection,
1480000,4,28,309,299,0,8,12,4,20,13,50,17,0,0,1480,detection,
643000,19,21,283,310,0,5,6,38,5,6,35,4,0,0,643,detection,
604000,17,29,285,304,0,21,7,20,19,12,25,3,0,0,604,detection,
514000,25,17,277,288,0,15,18,6,21,43,26,3,0,0,514,detection,
1161000,20,25,305,299,0,8,2,3,6,32,10,11,0,0,1161,detection,
393000,25,21,294,307,0,27,10,5,7,12,22,11,0,0,393,detection,
1395000,29,26,274,279,0,16,5,23,5,8,76,26,0,0,1395,detection,
231000,30,24,279,284,0,18,9,2,12,36,19,29,0,0,231,detection,
1631000,3,21,319,291,0,15,10,21,6,4,42,2,0,0,1631,detection,
1425000,11,30,292,313,0,10,25,24,20,11,33,12,0,0,1425,detection,
404000,23,28,328,278,0,8,16,20,3,7,17,10,0,0,404,detection,
1593000,25,17,311,327,0,1,26,26,11,5,43,9,0,0,1593,detection,
195000,21,15,290,303,0,14,2,7,5,26,51,13,0,0,195,detection,
1611000,4,14,273,271,0,11,7,12,6,37,45,37,0,0,1611,detection,
245000,13,17,271,308,0,28,6,22,6,24,34,16,0,0,245,detection,
734000,25,28,292,287,0,19,4,5,3,20,28,43,0,0,734,detection,
644000,22,29,274,291,0,3,7,15,9,12,22,1,0,0,644,detection,
