sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
1171000,29,28,318,273,0,3,2,20,3,4,42,12,0,0,1171,detection,
495000,13,28,290,320,0,29,30,31,15,11,15,0,0,0,495,detection,
1089000,16,23,309,301,0,3,11,16,4,13,29,4,0,0,1089,detection,
1487000,29,15,324,329,0,14,5,2,5,10,2,39,0,0,1487,detection,
261000,11,29,273,289,0,10,15,29,19,11,24,13,0,0,261,detection,
234000,15,24,282,311,0,15,9,4,5,6,36,9,0,0,234,detection,
543000,18,25,280,304,0,15,8,9,21,3,18,12,0,0,543,detection,
760000,27,21,294,282,0,9,16,4,7,28,14,6,0,0,760,detection,
794000,21,18,303,283,0,13,3,13,10,12,43,30,0,0,794,detection,
872000,22,25,325,325,0,34,3,5,25,3,1,13,0,0,872,detection,
1071000,22,13,282,300,0,47,28,2,28,17,28,12,0,0,1071,detection,
743000,16,14,277,301,0,4,23,5,22,13,30,13,0,0,743,detection,
1206000,25,26,297,315,0,5,8,9,14,14,8,12,0,0,1206,detection,
293000,15,30,328,318,0,3,7,10,20,27,30,3,0,0,293,detection,
1081000,20,11,274,291,0,3,24,3,27,5,19,42,0,0,1081,detection,
1348000,27,16,270,302,0,8,15,11,12,10,43,7,0,0,1348,detection,
431000,23,20,310,286,0,12,22,21,10,12,28,4,0,0,431,detection,
800000,12,28,323,327,0,9,8,25,2,3,51,8,0,0,800,detection,
1737000,14,24,295,298,0,26,7,18,9,5,38,38,0,0,1737,detection,
805000,19,21,305,287,0,6,21,5,9,9,33,11,0,0,805,detection,
464000,14,12,304,321,0,26,5,34,5,21,25,10,0,0,464,detection,
1207000,23,4,292,295,0,2,21,24,6,7,25,13,0,0,1207,detection,
1572000,13,19,291,285,0,37,20,25,5,16,50,2,0,0,1572,detection,
1494000,13,14,311,304,0,35,10,4,21,5,23,2,0,0,1494,detection,
1428000,11,12,281,320,0,29,25,5,5,11,39,6,0,0,1428,detection,
135000,16,28,276,320,0,11,4,15,7,1,25,27,0,0,135,detection,
674000,17,21,295,309,0,2,36,13,24,11,16,13,0,0,674,detection,
1174000,20,24,307,310,0,10,16,1,5,1,55,3,0,0,1174,detection,
313000,17,20,291,323,0,3,11,14,10,7,36,10,0,0,313,detection,
743000,13,16,275,315,0,12,37,18,30,24,44,10,0,0,743,detection,
1688000,18,12,286,310,0,10,14,3,41,14,40,15,0,0,1688,detection,
335000,29,24,281,317,0,25,25,11,13,30,19,17,0,0,335,detection,
774000,26,16,296,299,0,19,10,26,10,9,28,5,0,0,774,detection,
1716000,13,23,301,327,0,7,35,16,1,6,17,12,0,0,1716,detection,
1312000,12,25,313,287,0,1,8,23,18,20,40,12,0,0,1312,detection,
134000,15,11,319,286,0,12,3,38,40,42,27,3,0,0,134,detection,
1440000,11,4,280,318,0,1,0,2,30,7,8,21,0,0,1440,detection,
985000,14,22,281,311,0,2,2,2,15,15,17,1,0,0,985,detection,
1633000,3,20,311,320,0,15,3,8,9,7,10,11,0,0,1633,detection,
1496000,23,4,302,280,0,15,6,12,2,9,57,12,0,0,1496,detection,
1350000,13,14,316,308,0,12,21,28,45,3,10,2,0,0,1350,detection,
729000,13,21,273,325,0,4,11,5,4,1,32,8,0,0,729,detection,
885000,26,14,286,304,0,41,12,15,5,1,78,10,0,0,885,detection,
1615000,17,24,302,270,0,7,6,6,28,14,26,13,0,0,1615,detection,
1016000,18,15,284,273,0,23,14,9,6,4,14,12,0,0,1016,detection,
1042000,17,24,327,320,0,13,11,13,35,7,40,11,0,0,1042,detection,
469000,24,20,292,309,0,23,35,4,10,13,20,10,0,0,469,detection,
600000,21,22,299,317,0,27,11,22,17,28,41,0,0,0,600,detection,
1566000,15,27,284,299,0,10,2,6,3,24,2,7,0,0,1566,detection,
1251000,27,13,315,301,0,11,2,22,19,8,36,11,0,0,1251,detection,
1369000,25,30,323,307,0,8,41,0,4,7,7,11,0,0,1369,detection,
1423000,16,30,324,293,0,2,35,7,4,23,41,12,0,0,1423,detection,
1476000,23,16,317,290,0,8,4,36,46,11,32,30,0,0,1476,detection,
1086000,28,15,309,326,0,20,6,7,13,2,31,4,0,0,1086,detection,
361000,4,18,288,316,0,5,3,7,1,6,40,11,0,0,361,detection,
1160000,13,26,297,291,0,4,38,7,4,5,39,3,0,0,1160,detection,
1284000,17,25,273,325,0,13,19,2,7,26,20,10,0,0,1284,detection,
174000,26,17,295,279,0,20,12,19,11,18,24,18,0,0,174,detection,
1617000,22,4,311,308,0,6,19,6,25,5,26,20,0,0,1617,detection,
560000,4,17,289,274,0,6,23,2,1,15,26,10,0,0,560,detection,
138000,17,16,301,322,0,18,8,8,3,10,15,13,0,0,138,detection,
774000,11,24,306,300,0,12,16,3,11,5,35,5,0,0,774,detection,
716000,18,11,321,273,0,2,20,5,17,20,8,1,0,0,716,detection,
93000,20,23,297,322,0,7,16,6,9,13,5,8,0,0,93,detection,
1319000,14,4,321,320,0,17,19,3,5,11,30,5,0,0,1319,detection,
