sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
1474000,11,24,274,303,0,11,2,15,8,8,47,1,0,0,1474,detection,
1267000,26,27,322,327,0,16,22,10,5,17,3,25,0,0,1267,detection,
635000,21,27,324,287,0,10,6,2,29,2,12,30,0,0,635,detection,
123000,17,11,288,302,0,17,16,5,10,1,39,4,0,0,123,detection,
735000,29,30,301,282,0,6,23,8,11,4,20,17,0,0,735,detection,
1172000,20,3,313,274,0,0,19,27,3,14,17,12,0,0,1172,detection,
558000,19,11,322,270,0,22,7,7,38,10,26,17,0,0,558,detection,
1747000,26,22,289,322,0,4,10,4,6,23,67,29,0,0,1747,detection,
199000,3,14,299,304,0,4,44,28,20,3,32,5,0,0,199,detection,
261000,15,23,316,310,0,24,15,9,5,23,28,17,0,0,261,detection,
1276000,16,18,278,277,0,12,13,16,5,15,28,28,0,0,1276,detection,
958000,20,21,285,275,0,13,17,2,6,11,25,10,0,0,958,detection,
814000,26,22,313,292,0,19,26,6,17,8,29,12,0,0,814,detection,
905000,22,4,307,302,0,11,4,21,6,22,12,12,0,0,905,detection,
1525000,29,30,318,313,0,1,19,19,1,0,63,35,0,0,1525,detection,
553000,13,28,273,322,0,10,7,41,1,27,54,8,0,0,553,detection,
659000,23,15,295,297,0,1,23,11,18,0,53,26,0,0,659,detection,
873000,28,3,279,321,0,10,30,14,21,3,49,6,0,0,873,detection,
208000,29,23,307,311,0,26,7,40,20,24,17,3,0,0,208,detection,
687000,12,13,276,315,0,3,33,15,11,9,18,15,0,0,687,detection,
805000,28,17,321,288,0,0,36,25,21,5,20,14,0,0,805,detection,
639000,23,17,294,271,0,7,13,12,2,20,14,4,0,0,639,detection,
254000,29,30,319,275,0,12,5,8,5,17,10,4,0,0,254,detection,
1605000,14,23,310,303,0,15,2,3,7,1,30,8,0,0,1605,detection,
1489000,30,16,312,288,0,13,12,3,9,15,47,16,0,0,1489,detection,
189000,21,22,302,280,0,4,27,2,8,7,46,13,0,0,189,detection,
106000,15,13,325,289,0,17,38,13,5,20,18,6,0,0,106,detection,
1611000,25,27,284,275,0,15,14,16,29,9,31,7,0,0,1611,detection,
1326000,11,21,287,312,0,1,22,11,4,16,17,5,0,0,1326,detection,
1570000,21,13,312,329,0,10,7,3,49,13,48,28,0,0,1570,detection,
879000,29,30,290,301,0,32,11,12,3,3,31,6,0,0,879,detection,
1091000,28,13,295,290,0,1,11,17,16,16,34,12,0,0,1091,detection,
475000,30,14,322,289,0,6,4,14,18,4,19,17,0,0,475,detection,
315000,3,17,283,295,0,33,18,32,13,10,61,12,0,0,315,detection,
478000,15,17,322,320,0,11,36,2,32,30,35,3,0,0,478,detection,
298000,25,3,272,277,0,7,19,7,1,0,18,23,0,0,298,detection,
208000,13,16,292,308,0,1,30,24,5,6,1,22,0,0,208,detection,
1667000,4,27,315,300,0,5,8,9,35,16,21,16,0,0,1667,detection,
521000,14,21,270,305,0,16,1,9,5,14,34,1,0,0,521,detection,
1014000,15,24,320,296,0,23,17,3,1,3,17,15,0,0,1014,detection,
1372000,18,29,321,306,0,6,12,26,22,1,11,20,0,0,1372,detection,
1225000,19,24,279,299,0,6,6,11,8,18,31,2,0,0,1225,detection,
1229000,11,13,285,297,0,24,21,2,10,9,28,12,0,0,1229,detection,
1227000,17,28,273,290,0,11,11,19,17,29,19,3,0,0,1227,detection,
622000,28,30,276,326,0,22,18,3,4,9,55,7,0,0,622,detection,
261000,27,3,315,282,0,4,3,13,11,10,25,12,0,0,261,detection,
231000,11,30,327,319,0,8,21,18,2,4,11,3,0,0,231,detection,
681000,13,23,325,286,0,17,9,7,2,1,12,8,0,0,681,detection,
221000,13,24,307,291,0,4,12,4,28,10,39,5,0,0,221,detection,
1013000,4,28,322,287,0,12,15,11,2,6,23,15,0,0,1013,detection,
1536000,17,29,289,290,0,8,42,12,10,9,27,43,0,0,1536,detection,
1209000,17,19,310,280,0,33,2,33,5,6,19,4,0,0,1209,detection,
1364000,15,27,277,300,0,14,26,1,10,3,28,10,0,0,1364,detection,
610000,23,21,288,293,0,1,4,12,22,6,28,2,0,0,610,detection,
1394000,17,4,308,304,0,7,15,6,8,12,34,13,0,0,1394,detection,
1545000,15,14,287,271,0,22,14,8,2,8,39,6,0,0,1545,detection,
655000,22,25,325,277,0,15,21,9,13,11,35,23,0,0,655,detection,
180000,24,16,319,270,0,1,11,10,5,1,46,31,0,0,180,detection,
638000,12,14,289,290,0,21,23,13,7,10,26,18,0,0,638,detection,
978000,28,25,312,329,0,5,11,12,1,4,2,27,0,0,978,detection,
866000,22,20,303,308,0,12,3,10,1,15,6,1,0,0,866,detection,
1391000,22,23,287,287,0,10,11,25,1,14,12,17,0,0,1391,detection,
1283000,24,18,293,296,0,6,21,14,12,9,14,18,0,0,1283,detection,
1355000,3,17,299,295,0,18,12,8,8,2,26,5,0,0,1355,detection,
728000,29,25,317,304,0,21,26,11,0,3,21,16,0,0,728,detection,
641000,26,29,271,329,0,21,2,10,25,10,31,10,0,0,641,detection,
1489000,25,22,295,273,0,10,5,6,33,13,36,7,0,0,1489,detection,
1286000,4,19,278,278,0,13,18,4,5,16,11,8,0,0,1286,detection,
1162000,21,19,288,305,0,10,49,5,8,0,35,13,0,0,1162,detection,
862000,29,3,293,307,0,18,11,16,23,3,26,9,0,0,862,detection,
801000,21,13,326,296,0,2,23,8,11,12,7,7,0,0,801,detection,
1550000,13,25,290,318,0,21,17,11,27,6,68,7,0,0,1550,detection,
591000,17,25,293,285,0,19,8,18,6,25,19,11,0,0,591,detection,
1377000,28,12,309,270,0,13,7,12,1,53,11,30,0,0,1377,detection,
1124000,27,15,270,308,0,9,22,25,4,23,46,13,0,0,1124,detection,
1391000,23,15,275,289,0,21,2,10,31,4,31,20,0,0,1391,detection,
258000,19,18,308,323,0,3,3,9,14,20,47,7,0,0,258,detection,
802000,4,18,293,314,0,1,4,30,2,24,30,43,0,0,802,detection,
291000,14,22,312,307,0,26,36,6,4,4,16,17,0,0,291,detection,
869000,16,29,282,309,0,14,9,3,15,2,56,3,0,0,869,detection,
1496000,12,25,296,326,0,7,3,2,18,12,23,22,0,0,1496,detection,
1000000,21,26,271,327,0,9,5,6,25,10,4,17,0,0,1000,detection,
566000,13,23,301,292,0,2,7,3,14,17,51,2,0,0,566,detection,
449000,26,20,296,314,0,10,8,22,0,6,7,8,0,0,449,detection,
282000,3,28,286,295,0,1,5,4,4,2,22,7,0,0,282,detection,
1586000,11,17,281,307,0,24,6,17,5,2,17,8,0,0,1586,detection,
1278000,21,29,326,326,0,17,6,11,8,1,17,11,0,0,1278,detection,
197000,29,18,273,286,0,20,15,18,19,36,3,23,0,0,197,detection,
668000,29,16,317,273,0,22,10,10,31,18,23,7,0,0,668,detection,
440000,11,25,327,286,0,15,11,8,24,6,36,6,0,0,440,detection,
867000,26,24,285,307,0,2,9,15,39,12,43,9,0,0,867,detection,
702000,20,22,270,326,0,7,9,1,1,9,11,3,0,0,702,detection,
396000,3,30,322,270,0,5,19,5,14,3,24,7,0,0,396,detection,
873000,29,23,285,302,0,20,14,19,21,17,10,5,0,0,873,detection,
1153000,29,18,320,285,0,7,14,4,14,2,8,29,0,0,1153,detection,
1492000,12,11,305,277,0,26,4,17,20,7,36,2,0,0,1492,detection,
443000,4,23,298,297,0,6,11,10,5,25,66,10,0,0,443,detection,
1159000,23,28,283,281,0,12,9,37,14,18,3,5,0,0,1159,detection,
1387000,15,20,306,321,0,30,21,6,8,21,26,3,0,0,1387,detection,
473000,23,26,294,326,0,20,1,11,11,26,38,31,0,0,473,detection,
361000,15,19,319,297,0,11,41,5,2,9,34,3,0,0,361,detection,
1155000,26,13,286,283,0,12,32,12,7,0,34,13,0,0,1155,detection,
1370000,17,25,312,270,0,12,27,2,17,29,52,45,0,0,1370,detection,
325000,18,17,275,298,0,35,19,22,13,7,24,16,0,0,325,detection,
307000,22,21,314,276,0,4,33,24,25,27,9,38,0,0,307,detection,
622000,11,18,278,299,0,4,11,7,7,4,29,8,0,0,622,detection,
611000,12,18,300,275,0,35,3,23,22,19,40,10,0,0,611,detection,
354000,30,11,312,303,0,3,5,26,3,14,9,6,0,0,354,detection,
1709000,14,13,304,313,0,5,7,19,8,13,40,34,0,0,1709,detection,
355000,12,25,280,287,0,6,19,14,18,28,28,1,0,0,355,detection,
1717000,12,27,271,325,0,2,5,7,1,17,24,0,0,0,1717,detection,
108000,22,3,327,324,0,9,3,8,35,14,18,2,0,0,108,detection,
662000,20,15,321,309,0,19,2,29,23,32,51,24,0,0,662,detection,
583000,24,3,311,312,0,8,2,1,20,10,3,11,0,0,583,detection,
1204000,21,17,299,297,0,8,7,1,29,23,2,23,0,0,1204,detection,
1526000,16,17,308,281,0,12,24,18,4,11,22,9,0,0,1526,detection,
156000,22,30,329,329,0,22,6,9,19,9,7,7,0,0,156,detection,
985000,25,29,314,301,0,18,46,26,18,21,21,13,0,0,985,detection,
810000,17,19,307,293,0,1,15,21,8,18,20,9,0,0,810,detection,
643000,4,27,283,291,0,6,7,3,8,9,23,7,0,0,643,detection,
1316000,22,19,295,290,0,5,1,27,2,9,66,5,0,0,1316,detection,
1015000,4,28,327,282,0,23,42,18,1,6,30,3,0,0,1015,detection,
1039000,14,27,279,301,0,16,24,12,5,9,25,20,0,0,1039,detection,
675000,19,20,315,313,0,4,3,1,5,12,21,5,0,0,675,detection,
1715000,29,14,273,326,0,14,3,20,13,28,23,23,0,0,1715,detection,
1008000,3,29,277,313,0,13,26,21,11,18,3,7,0,0,1008,detection,
630000,24,15,271,297,0,18,22,13,41,24,46,11,0,0,630,detection,
138000,19,23,294,324,0,6,6,16,19,21,24,2,0,0,138,detection,
256000,11,3,310,325,0,19,15,15,8,6,54,18,0,0,256,detection,
237000,26,25,290,284,0,20,22,11,9,11,73,7,0,0,237,detection,
818000,19,3,291,270,0,4,10,4,16,5,39,16,0,0,818,detection,
1167000,3,30,271,328,0,5,7,9,12,22,18,3,0,0,1167,detection,
105000,26,20,296,270,0,6,7,29,10,6,44,0,0,0,105,detection,
986000,4,25,309,313,0,11,18,6,3,9,13,11,0,0,986,detection,
977000,24,15,293,278,0,10,2,1,13,11,24,6,0,0,977,detection,
1217000,20,18,303,278,0,3,14,1,24,3,21,10,0,0,1217,detection,
1532000,4,23,311,283,0,3,4,3,2,9,33,1,0,0,1532,detection,
932000,13,26,284,309,0,21,6,9,22,15,59,17,0,0,932,detection,
110000,22,21,310,327,0,1,5,7,3,20,9,12,0,0,110,detection,
766000,28,16,313,286,0,6,16,2,38,11,17,5,0,0,766,detection,
1384000,20,26,270,282,0,2,2,27,6,4,15,20,0,0,1384,detection,
1061000,13,28,322,319,0,7,15,3,32,14,51,16,0,0,1061,detection,
584000,20,15,288,284,0,13,27,5,27,19,32,4,0,0,584,detection,
1110000,13,18,307,288,0,8,1,16,10,8,23,13,0,0,1110,detection,
522000,30,26,272,319,0,32,24,15,20,27,45,21,0,0,522,detection,
132000,12,4,304,324,0,15,5,9,4,45,19,10,0,0,132,detection,
766000,29,23,319,291,0,10,44,2,30,31,17,8,0,0,766,detection,
1592000,30,28,311,305,0,3,4,31,28,12,47,4,0,0,1592,detection,
1392000,27,15,296,278,0,4,12,12,28,26,32,24,0,0,1392,detection,
586000,12,13,307,307,0,14,18,40,2,14,12,10,0,0,586,detection,
623000,29,15,301,305,0,6,13,7,24,12,31,7,0,0,623,detection,
301000,3,21,280,308,0,14,48,3,20,25,24,9,0,0,301,detection,
1270000,30,21,279,313,0,11,0,12,19,13,15,37,0,0,1270,detection,
1362000,11,4,289,286,0,22,4,25,4,26,26,29,0,0,1362,detection,
448000,27,12,291,273,0,9,12,19,6,13,21,6,0,0,448,detection,
433000,21,20,304,326,0,10,32,5,5,25,6,37,0,0,433,detection,
497000,21,3,316,317,0,4,1,29,18,7,35,8,0,0,497,detection,
607000,22,19,327,271,0,16,2,2,40,9,18,4,0,0,607,detection,
134000,21,11,286,290,0,16,13,24,6,6,13,28,0,0,134,detection,
718000,21,23,277,271,0,5,7,6,8,22,59,10,0,0,718,detection,
96000,16,22,316,309,0,10,6,9,16,8,26,5,0,0,96,detection,
1712000,12,28,316,290,0,9,6,2,13,27,27,18,0,0,1712,detection,
729000,22,23,325,291,0,10,11,5,9,20,51,2,0,0,729,detection,
1677000,3,27,280,323,0,29,21,9,17,9,3,5,0,0,1677,detection,
1636000,25,3,304,289,0,8,4,29,13,29,7,3,0,0,1636,detection,
1319000,20,26,285,315,0,10,7,4,8,22,71,4,0,0,1319,detection,
1141000,27,23,277,291,0,17,1,1,3,1,9,1,0,0,1141,detection,
1442000,24,19,328,281,0,4,0,7,6,3,28,34,0,0,1442,detection,
1136000,13,11,282,317,0,23,15,4,3,16,28,21,0,0,1136,detection,
