sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
1241000,23,25,328,303,0,0,1,17,13,14,27,10,0,0,1241,detection,
1151000,16,4,296,278,0,12,22,7,10,14,17,7,0,0,1151,detection,
1625000,26,11,320,306,0,48,2,9,9,4,28,3,0,0,1625,detection,
1555000,16,11,305,284,0,7,8,9,6,13,24,5,0,0,1555,detection,
526000,20,25,299,278,0,0,3,13,14,12,34,2,0,0,526,detection,
1702000,21,27,311,308,0,14,9,23,44,27,16,11,0,0,1702,detection,
1246000,20,27,304,325,0,16,33,6,15,21,15,5,0,0,1246,detection,
1037000,17,12,321,292,0,15,1,9,27,10,15,32,0,0,1037,detection,
619000,12,18,321,320,0,9,10,15,19,27,18,1,0,0,619,detection,
419000,12,26,291,291,0,6,2,9,12,3,15,1,0,0,419,detection,
369000,27,24,314,304,0,5,2,30,2,15,15,23,0,0,369,detection,
1151000,30,15,301,284,0,10,11,1,3,13,27,22,0,0,1151,detection,
1463000,23,26,277,273,0,8,8,5,4,27,10,23,0,0,1463,detection,
599000,21,3,311,307,0,30,15,14,25,7,53,8,0,0,599,detection,
840000,14,16,310,292,0,8,8,2,3,1,38,20,0,0,840,detection,
422000,30,24,286,305,0,1,10,8,18,8,27,2,0,0,422,detection,
1181000,20,25,305,304,0,6,28,13,9,25,16,2,0,0,1181,detection,
650000,20,17,278,280,0,13,5,2,1,9,39,3,0,0,650,detection,
1355000,4,29,323,310,0,0,17,2,5,13,17,21,0,0,1355,detection,
1140000,22,12,306,319,0,9,24,7,20,17,20,7,0,0,1140,detection,
1070000,14,30,293,290,0,12,17,31,8,11,12,26,0,0,1070,detection,
359000,3,13,289,304,0,7,2,8,4,8,46,22,0,0,359,detection,
1445000,27,12,297,271,0,6,23,9,1,6,26,9,0,0,1445,detection,
1197000,14,28,278,318,0,19,6,3,27,4,30,5,0,0,1197,detection,
621000,17,25,285,276,0,18,1,11,5,40,21,8,0,0,621,detection,
119000,27,13,307,302,0,24,16,15,3,10,38,31,0,0,119,detection,
1600000,29,13,325,275,0,11,19,11,12,25,27,16,0,0,1600,detection,
1198000,15,11,298,303,0,9,0,3,0,19,30,3,0,0,1198,detection,
242000,16,4,298,301,0,4,3,27,13,17,6,6,0,0,242,detection,
537000,3,25,289,274,0,18,18,23,16,13,19,5,0,0,537,detection,
1540000,25,11,281,270,0,12,11,35,14,6,16,15,0,0,1540,detection,
1375000,22,24,299,326,0,2,2,4,0,3,50,9,0,0,1375,detection,
244000,30,29,306,327,0,4,7,30,0,4,17,7,0,0,244,detection,
1082000,21,27,277,318,0,3,9,11,7,17,26,16,0,0,1082,detection,
474000,25,3,329,322,0,14,12,46,9,2,40,14,0,0,474,detection,
1400000,13,18,320,323,0,4,9,2,10,2,58,2,0,0,1400,detection,
1247000,22,30,309,321,0,13,3,7,9,16,7,10,0,0,1247,detection,
476000,17,28,297,293,0,4,9,10,5,0,10,1,0,0,476,detection,
1021000,27,18,306,292,0,7,6,5,17,16,23,3,0,0,1021,detection,
645000,24,30,320,307,0,8,3,12,14,42,20,3,0,0,645,detection,
1277000,19,16,276,307,0,3,1,8,1,16,49,24,0,0,1277,detection,
635000,23,20,317,271,0,22,30,35,0,8,26,11,0,0,635,detection,
571000,30,11,325,315,0,4,6,13,1,29,37,33,0,0,571,detection,
909000,24,14,299,274,0,1,6,7,12,1,30,14,0,0,909,detection,
1313000,25,12,303,288,0,31,16,9,5,1,33,19,0,0,1313,detection,
725000,30,27,275,319,0,11,6,24,11,3,14,19,0,0,725,detection,
79000,16,15,284,310,0,9,1,1,1,21,18,32,0,0,79,detection,
982000,29,11,315,282,0,8,14,1,4,42,4,23,0,0,982,detection,
954000,15,4,312,323,0,24,10,11,3,6,36,2,0,0,954,detection,
380000,14,27,323,297,0,9,15,14,8,0,48,9,0,0,380,detection,
1711000,19,27,302,312,0,37,7,3,3,19,36,27,0,0,1711,detection,
273000,11,15,299,310,0,10,19,16,6,5,24,4,0,0,273,detection,
481000,24,15,323,275,0,9,16,7,9,9,15,3,0,0,481,detection,
901000,21,11,303,307,0,22,16,3,22,1,16,4,0,0,901,detection,
1466000,17,29,302,274,0,11,9,11,13,37,29,13,0,0,1466,detection,
339000,14,28,315,307,0,1,9,23,2,31,19,18,0,0,339,detection,
196000,29,12,275,287,0,26,25,1,10,4,11,7,0,0,196,detection,
1748000,12,25,326,302,0,4,7,5,34,20,7,1,0,0,1748,detection,
954000,22,20,274,317,0,4,7,30,5,4,30,14,0,0,954,detection,
1461000,21,23,281,322,0,23,6,13,31,15,20,34,0,0,1461,detection,
100000,16,27,322,318,0,3,14,45,28,14,23,6,0,0,100,detection,
626000,4,26,276,282,0,12,2,2,2,38,5,14,0,0,626,detection,
1216000,30,17,290,320,0,13,12,7,2,15,37,21,0,0,1216,detection,
735000,24,25,297,314,0,16,8,10,4,21,30,12,0,0,735,detection,
747000,16,14,295,298,0,3,8,6,10,20,16,19,0,0,747,detection,
1058000,17,14,288,285,0,32,36,13,8,9,44,9,0,0,1058,detection,
111000,11,18,319,281,0,4,1,20,30,8,12,2,0,0,111,detection,
1661000,11,19,307,293,0,2,2,36,8,15,37,13,0,0,1661,detection,
374000,17,13,323,329,0,4,46,23,4,32,34,5,0,0,374,detection,
1373000,27,19,302,308,0,4,20,16,47,5,21,7,0,0,1373,detection,
420000,23,4,297,318,0,5,9,6,23,14,23,14,0,0,420,detection,
1680000,30,21,293,313,0,6,6,18,16,36,34,3,0,0,1680,detection,
100000,23,19,316,297,0,1,10,18,14,3,24,14,0,0,100,detection,
237000,11,19,324,287,0,9,11,11,3,19,39,11,0,0,237,detection,
1505000,25,22,326,307,0,14,13,10,6,14,27,6,0,0,1505,detection,
1489000,25,17,277,317,0,20,4,17,10,5,48,31,0,0,1489,detection,
1515000,29,3,284,310,0,17,3,6,7,3,61,14,0,0,1515,detection,
283000,18,19,292,289,0,7,13,2,24,7,23,31,0,0,283,detection,
1237000,30,4,318,304,0,9,4,16,5,6,9,6,0,0,1237,detection,
167000,30,11,287,325,0,2,1,5,19,9,32,17,0,0,167,detection,
696000,15,28,313,316,0,13,2,6,0,0,15,4,0,0,696,detection,
1746000,14,12,289,307,0,6,2,5,1,4,56,39,0,0,1746,detection,
158000,18,28,273,298,0,24,16,16,2,14,34,1,0,0,158,detection,
200000,11,27,280,291,0,6,14,25,23,1,22,2,0,0,200,detection,
1628000,19,18,295,307,0,2,6,20,13,4,19,2,0,0,1628,detection,
824000,14,17,294,300,0,12,6,24,8,18,18,22,0,0,824,detection,
335000,28,26,313,272,0,21,9,12,12,14,13,23,0,0,335,detection,
950000,23,24,297,281,0,9,16,12,2,24,38,29,0,0,950,detection,
971000,23,25,287,305,0,10,4,3,6,21,24,24,0,0,971,detection,
212000,21,20,292,284,0,5,25,4,12,6,22,10,0,0,212,detection,
977000,19,29,300,309,0,1,14,1,2,37,41,15,0,0,977,detection,
497000,20,30,285,320,0,16,13,3,6,18,14,24,0,0,497,detection,
1223000,15,22,310,296,0,4,24,8,28,5,12,10,0,0,1223,detection,
1698000,11,30,317,323,0,51,26,25,3,17,22,4,0,0,1698,detection,
1294000,13,24,305,316,0,5,13,7,6,4,35,7,0,0,1294,detection,
651000,23,22,278,271,0,5,20,6,3,4,46,10,0,0,651,detection,
1683000,15,13,316,291,0,13,16,20,1,21,17,6,0,0,1683,detection,
248000,26,29,308,289,0,9,7,6,9,12,28,5,0,0,248,detection,
475000,14,29,278,316,0,29,16,2,10,27,36,14,0,0,475,detection,
243000,15,23,326,299,0,5,1,12,10,13,55,22,0,0,243,detection,
1669000,12,22,313,284,0,10,5,23,6,7,35,6,0,0,1669,detection,
476000,16,11,312,305,0,12,5,8,3,10,14,2,0,0,476,detection,
85000,20,3,301,280,0,6,4,10,12,1,5,5,0,0,85,detection,
