sim_ms,mote_id,src,R,Rhat,e,v1,v2,v3,v4,v5,v6,v7,AC,ML,t,type,action
280000,24,25,313,325,0,26,7,14,20,5,28,5,0,0,280,detection,
1609000,20,23,310,314,0,10,10,19,2,7,29,1,0,0,1609,detection,
995000,29,20,291,304,0,3,5,7,15,10,14,19,0,0,995,detection,
94000,18,28,304,298,0,5,3,18,9,12,23,1,0,0,94,detection,
749000,3,25,317,313,0,5,8,23,4,6,22,28,0,0,749,detection,
646000,3,28,276,281,0,8,11,11,8,23,41,18,0,0,646,detection,
842000,14,25,292,276,0,23,7,8,16,17,32,9,0,0,842,detection,
993000,27,15,306,310,0,24,10,1,8,4,28,7,0,0,993,detection,
1297000,14,18,291,279,0,12,1,21,11,4,38,3,0,0,1297,detection,
1182000,19,18,307,326,0,7,2,4,36,7,34,6,0,0,1182,detection,
174000,23,20,329,306,0,20,18,5,6,14,32,8,0,0,174,detection,
1172000,17,30,322,313,0,1,38,12,0,18,44,9,0,0,1172,detection,
666000,16,17,294,280,0,14,15,10,5,9,22,5,0,0,666,detection,
194000,24,16,284,317,0,13,18,20,23,13,24,20,0,0,194,detection,
751000,19,20,301,316,0,11,4,3,17,29,5,11,0,0,751,detection,
577000,28,13,321,298,0,22,3,10,18,18,41,15,0,0,577,detection,
600000,18,13,308,286,0,4,13,26,22,6,23,18,0,0,600,detection,
1243000,27,15,288,290,0,12,0,4,24,9,26,8,0,0,1243,detection,
581000,17,4,275,309,0,16,2,12,17,21,20,10,0,0,581,detection,
93000,23,26,275,300,0,27,1,1,1,4,26,4,0,0,93,detection,
1436000,29,24,295,302,0,21,19,1,7,38,55,4,0,0,1436,detection,
805000,15,11,282,296,0,15,9,14,17,13,31,18,0,0,805,detection,
182000,21,19,271,277,0,12,22,26,14,19,10,7,0,0,182,detection,
1078000,22,29,306,281,0,4,14,5,3,19,39,21,0,0,1078,detection,
868000,26,11,299,315,0,13,31,5,6,2,60,12,0,0,868,detection,
1608000,3,28,292,311,0,32,17,12,9,28,29,8,0,0,1608,detection,
506000,19,14,309,297,0,4,8,22,4,19,77,11,0,0,506,detection,
502000,23,13,310,311,0,2,4,4,16,5,14,11,0,0,502,detection,
1287000,29,3,285,286,0,7,5,16,15,9,48,10,0,0,1287,detection,
1097000,20,19,299,290,0,12,7,6,9,1,19,7,0,0,1097,detection,
345000,15,4,282,294,0,16,22,12,11,3,39,7,0,0,345,detection,
1613000,19,28,276,280,0,14,14,14,15,22,23,11,0,0,1613,detection,
1625000,29,22,292,276,0,11,4,36,9,11,12,6,0,0,1625,detection,
65000,14,16,314,275,0,13,13,2,4,3,16,6,0,0,65,detection,
449000,25,14,324,283,0,11,9,9,15,38,19,13,0,0,449,detection,
404000,3,25,285,326,0,18,5,21,5,9,32,7,0,0,404,detection,
1247000,18,17,278,281,0,37,6,4,18,3,13,6,0,0,1247,detection,
130000,21,24,295,323,0,1,23,8,21,14,36,10,0,0,130,detection,
885000,17,4,293,327,0,19,23,4,36,17,29,5,0,0,885,detection,
655000,12,18,320,300,0,6,45,43,30,14,15,2,0,0,655,detection,
1380000,29,25,316,298,0,1,4,28,23,8,10,6,0,0,1380,detection,
331000,22,11,276,320,0,4,10,2,20,18,19,6,0,0,331,detection,
1184000,20,16,329,310,0,8,1,6,13,10,11,7,0,0,1184,detection,
1725000,22,16,280,287,0,27,19,6,9,24,57,1,0,0,1725,detection,
991000,12,17,306,326,0,1,11,20,20,17,18,21,0,0,991,detection,
1720000,16,28,292,296,0,8,0,21,8,10,57,6,0,0,1720,detection,
381000,22,14,273,271,0,11,7,17,11,19,21,0,0,0,381,detection,
867000,23,22,301,315,0,39,14,1,16,5,16,13,0,0,867,detection,
78000,24,22,320,316,0,11,4,18,0,4,29,38,0,0,78,detection,
598000,15,19,307,273,0,13,15,19,9,39,53,25,0,0,598,detection,
1694000,25,19,281,301,0,10,12,21,11,34,64,14,0,0,1694,detection,
528000,17,29,289,272,0,50,3,13,22,18,48,31,0,0,528,detection,
1411000,29,14,287,326,0,5,15,17,30,13,38,10,0,0,1411,detection,
949000,27,3,272,311,0,23,10,1,0,12,15,44,0,0,949,detection,
826000,30,21,292,270,0,33,2,14,2,1,30,24,0,0,826,detection,
1597000,20,27,292,292,0,1,4,16,13,8,50,19,0,0,1597,detection,
684000,13,15,308,288,0,4,2,9,31,3,29,4,0,0,684,detection,
1401000,27,25,316,323,0,14,3,1,14,14,25,5,0,0,1401,detection,
1740000,16,3,324,303,0,19,10,7,2,32,25,23,0,0,1740,detection,
971000,16,22,302,274,0,12,0,17,12,19,26,7,0,0,971,detection,
818000,21,17,304,304,0,10,7,8,18,14,19,7,0,0,818,detection,
209000,23,22,301,311,0,7,2,25,12,10,18,1,0,0,209,detection,
893000,12,15,295,301,0,13,6,3,23,10,21,4,0,0,893,detection,
353000,24,25,287,299,0,19,2,27,14,17,26,8,0,0,353,detection,
1130000,17,11,313,299,0,41,15,19,1,16,36,9,0,0,1130,detection,
1433000,23,14,288,292,0,3,51,8,10,2,40,16,0,0,1433,detection,
123000,27,22,272,274,0,33,15,4,14,25,31,6,0,0,123,detection,
1258000,21,3,326,328,0,10,24,3,8,28,13,4,0,0,1258,detection,
763000,26,12,323,314,0,30,3,23,4,2,11,3,0,0,763,detection,
1626000,21,16,319,324,0,6,26,25,5,10,44,12,0,0,1626,detection,
585000,18,19,275,292,0,1,7,21,25,16,17,20,0,0,585,detection,
1469000,12,18,282,271,0,10,23,30,4,18,50,4,0,0,1469,detection,
1088000,30,12,317,286,0,11,9,5,13,6,9,5,0,0,1088,detection,
738000,27,23,309,284,0,34,2,12,13,2,35,10,0,0,738,detection,
1652000,13,12,292,309,0,2,14,17,29,35,46,31,0,0,1652,detection,
1477000,29,30,307,282,0,19,29,15,16,8,21,15,0,0,1477,detection,
593000,24,25,318,311,0,2,15,22,9,29,21,6,0,0,593,detection,
1574000,24,11,318,319,0,16,12,5,2,8,44,6,0,0,1574,detection,
782000,14,17,295,298,0,12,2,8,14,1,1,3,0,0,782,detection,
431000,18,13,328,274,0,3,45,5,8,18,26,37,0,0,431,detection,
337000,23,15,290,309,0,1,13,11,1,18,58,7,0,0,337,detection,
1090000,4,19,306,325,0,5,13,4,18,3,20,6,0,0,1090,detection,
1354000,23,16,318,316,0,1,21,6,8,9,12,25,0,0,1354,detection,
881000,16,4,295,298,0,12,11,6,8,24,55,12,0,0,881,detection,
1010000,22,26,293,326,0,25,10,8,11,16,24,23,0,0,1010,detection,
477000,27,14,280,315,0,2,22,9,18,10,50,22,0,0,477,detection,
317000,25,30,289,306,0,3,7,1,28,15,10,23,0,0,317,detection,
1242000,29,18,298,296,0,10,35,30,11,14,7,15,0,0,1242,detection,
246000,21,24,326,315,0,12,18,5,23,18,32,20,0,0,246,detection,
263000,22,24,308,280,0,35,7,6,15,6,14,2,0,0,263,detection,
544000,23,4,296,287,0,9,7,34,16,27,8,15,0,0,544,detection,
1237000,11,21,321,310,0,9,20,16,13,7,31,6,0,0,1237,detection,
139000,29,12,291,297,0,21,8,9,39,30,47,0,0,0,139,detection,
1231000,27,16,276,312,0,4,15,9,12,21,24,5,0,0,1231,detection,
1094000,21,3,312,293,0,3,11,21,18,1,13,8,0,0,1094,detection,
976000,12,16,322,289,0,11,20,9,2,28,28,2,0,0,976,detection,
573000,4,21,301,281,0,20,6,28,5,8,44,12,0,0,573,detection,
762000,4,30,291,299,0,6,6,1,20,5,8,1,0,0,762,detection,
471000,18,11,310,326,0,9,1,7,1,7,28,2,0,0,471,detection,
698000,27,13,297,310,0,32,9,5,5,6,12,5,0,0,698,detection,
218000,29,24,283,295,0,19,3,22,17,8,16,3,0,0,218,detection,
871000,16,26,319,293,0,7,29,5,1,15,36,6,0,0,871,detection,
1386000,17,14,327,289,0,10,1,15,13,6,32,10,0,0,1386,detection,
483000,3,28,296,317,0,21,7,14,11,1,35,18,0,0,483,detection,
1272000,14,21,280,293,0,10,2,18,4,5,29,29,0,0,1272,detection,
824000,13,17,292,298,0,14,10,16,23,4,17,6,0,0,824,detection,
391000,3,25,325,328,0,21,15,35,7,6,21,29,0,0,391,detection,
766000,19,18,271,281,0,10,2,6,1,18,46,11,0,0,766,detection,
1320000,28,21,276,288,0,6,9,14,12,19,23,21,0,0,1320,detection,
417000,20,4,278,310,0,7,3,17,20,36,8,1,0,0,417,detection,
1248000,11,17,281,318,0,8,23,1,19,13,53,7,0,0,1248,detection,
755000,17,20,314,287,0,18,7,3,22,9,21,8,0,0,755,detection,
343000,21,22,318,307,0,8,31,5,9,9,58,1,0,0,343,detection,
367000,28,16,296,315,0,5,5,2,34,23,72,11,0,0,367,detection,
1089000,21,4,310,316,0,6,5,9,1,10,80,1,0,0,1089,detection,
573000,28,30,291,299,0,13,0,2,12,18,10,20,0,0,573,detection,
1314000,3,18,300,326,0,6,6,22,45,11,27,2,0,0,1314,detection,
1278000,28,13,274,302,0,7,12,9,14,26,49,10,0,0,1278,detection,
1694000,22,3,287,276,0,29,20,20,24,10,56,7,0,0,1694,detection,
284000,30,21,306,299,0,17,0,11,3,7,51,28,0,0,284,detection,
1328000,30,13,326,309,0,4,6,2,4,5,36,6,0,0,1328,detection,
609000,19,13,328,284,0,8,15,17,10,5,42,4,0,0,609,detection,
1207000,11,26,295,291,0,2,3,7,1,4,31,7,0,0,1207,detection,
1344000,27,4,326,313,0,6,2,7,3,8,16,12,0,0,1344,detection,
110000,29,22,289,311,0,21,2,6,5,13,16,9,0,0,110,detection,
1531000,14,23,297,290,0,6,8,3,10,4,16,2,0,0,1531,detection,
633000,23,24,328,329,0,4,3,20,12,24,33,3,0,0,633,detection,
409000,29,26,318,278,0,5,2,13,10,2,18,13,0,0,409,detection,
602000,27,11,315,275,0,1,21,1,23,2,29,9,0,0,602,detection,
1185000,12,26,296,325,0,2,25,8,28,13,76,26,0,0,1185,detection,
571000,17,19,308,271,0,5,5,11,11,16,28,12,0,0,571,detection,
1455000,18,29,288,311,0,0,6,2,2,16,6,2,0,0,1455,detection,
1442000,21,20,271,314,0,19,33,3,12,8,34,7,0,0,1442,detection,
103000,4,17,276,309,0,26,3,1,17,2,8,13,0,0,103,detection,
249000,12,17,275,291,0,13,16,5,6,7,17,13,0,0,249,detection,
1293000,29,28,312,294,0,7,11,10,18,4,58,8,0,0,1293,detection,
844000,21,15,317,275,0,8,10,29,15,16,24,5,0,0,844,detection,
536000,16,12,304,309,0,17,4,4,10,16,17,14,0,0,536,detection,
1332000,23,24,302,317,0,7,34,6,6,19,42,38,0,0,1332,detection,
845000,23,20,303,316,0,8,55,13,6,1,15,9,0,0,845,detection,
1092000,30,28,319,315,0,28,21,4,25,16,45,4,0,0,1092,detection,
1558000,12,3,326,283,0,32,11,5,4,19,43,20,0,0,1558,detection,
521000,12,13,275,309,0,3,22,5,22,19,8,6,0,0,521,detection,
624000,24,11,278,304,0,24,7,45,12,5,41,4,0,0,624,detection,
1517000,28,11,301,295,0,6,1,22,3,33,20,8,0,0,1517,detection,
428000,12,14,302,274,0,19,13,12,9,5,12,3,0,0,428,detection,
1014000,24,17,292,294,0,26,20,23,10,5,35,20,0,0,1014,detection,
